Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Michigan State,1,B10,4,3-1,3,1,0.75,125.8,5,90.4,26,0.978,1,57.3,18,45.7,77,16.6,100,15.9,238,25.9,246,30.2,134,41.3,90,37.4,176,52.8,57,42.4,50,45.2,16,35.2,168,30.1,217,32.0,147,64.9,151,1.8,6
2,Memphis,8,CUSA,4,4-0,4,0,1.0,116.1,33,84.2,6,0.9757,2,55.1,38,39.8,8,16.5,95,21.4,73,28.3,207,31.4,156,51.0,28,44.8,252,54.7,40,42.7,53,37.5,101,21.7,12,27.2,255,28.6,77,68.7,52,1.0,14
3,Ohio State,2,B10,5,4-1,4,1,0.8,124.5,9,91.7,33,0.971,3,52.2,90,50.4,191,16.5,95,15.0,262,39.4,33,25.7,57,28.8,243,30.5,91,55.4,34,45.8,104,28.8,243,38.1,229,26.5,267,40.5,284,67.2,88,2.5,2
4,Kentucky,1,SEC,5,4-1,4,1,0.8,119.6,18,88.3,12,0.9702,4,50.7,117,43.3,34,14.8,50,13.5,299,35.3,85,27.4,83,33.3,186,22.4,17,50.0,107,42.1,44,34.8,146,30.5,99,32.6,166,32.8,163,63.3,221,1.8,5
5,Missouri,2,B12,5,5-0,5,0,1.0,133.4,1,100.3,135,0.9634,5,62.8,2,49.7,176,14.1,32,19.0,139,29.4,191,36.1,243,36.5,147,25.6,42,58.5,11,46.5,120,46.9,10,37.6,222,35.8,113,31.7,142,65.2,140,2.1,4
6,Wichita State,5,MVC,2,1-1,1,1,0.5,108.3,100,82.3,4,0.9592,6,48.0,178,36.1,2,20.5,223,15.2,255,37.7,56,24.7,45,17.6,313,39.8,214,44.3,236,32.3,1,37.8,96,27.9,63,29.6,221,39.8,278,67.2,88,-0.42,125
8,North Carolina,1,ACC,5,4-1,4,1,0.8,119.0,23,91.9,36,0.9511,8,49.5,144,49.2,159,14.0,31,18.4,158,36.5,69,26.8,73,37.2,138,30.5,91,51.3,83,48.5,172,29.9,229,33.7,145,26.9,259,32.5,158,71.2,24,1.5,7
9,Florida State,3,ACC,5,5-0,5,0,1.0,121.9,12,94.3,57,0.9507,9,57.9,13,45.5,71,22.7,267,18.2,164,31.9,150,37.9,275,35.4,161,27.4,56,50.6,97,45.4,95,48.8,7,30.6,102,32.3,172,32.3,153,67.3,83,2.9,1
10,South Florida,12,BE,5,3-2,3,2,0.6,102.6,164,79.4,2,0.9502,10,48.9,161,38.4,3,23.5,283,16.5,225,29.0,196,25.7,57,29.5,235,32.4,116,49.4,122,38.0,8,31.8,192,26.3,39,28.2,243,30.9,126,58.5,314,0.03,72
11,Wisconsin,4,B10,3,2-1,2,1,0.6667,122.1,11,95.6,79,0.9432,11,51.6,99,50.3,189,14.4,41,17.8,181,28.7,200,27.6,89,37.5,131,40.4,220,43.7,245,47.4,141,41.5,41,40.6,253,42.8,28,21.9,16,60.0,294,0.8,24
12,VCU,12,CAA,3,3-0,3,0,1.0,114.5,42,89.8,20,0.9426,12,51.0,109,48.3,140,14.4,41,30.8,1,26.9,228,42.2,300,51.0,28,37.7,183,45.4,216,45.0,85,40.0,49,37.0,208,38.2,72,31.5,133,66.6,108,0.9,16
13,Cincinnati,6,BE,5,4-1,4,1,0.8,114.9,40,90.2,23,0.9419,13,46.3,213,47.5,126,14.9,56,21.7,62,33.2,126,37.2,264,27.7,255,24.6,33,50.8,92,43.3,61,25.2,277,36.6,199,34.3,140,35.9,227,60.7,284,2.3,3
14,Gonzaga,7,WCC,2,1-1,1,1,0.5,116.1,34,91.2,30,0.9413,14,53.3,67,46.1,88,15.1,59,18.0,172,27.1,226,28.9,115,24.6,281,37.9,187,55.3,36,49.3,185,32.4,181,26.8,49,30.3,214,35.3,207,63.1,226,-0.08,78
15,Louisville,4,BE,6,4-2,4,2,0.6667,100.9,188,79.4,3,0.9399,15,43.1,277,43.4,36,21.4,244,25.2,12,33.6,119,34.3,208,27.4,258,31.4,103,45.6,211,46.9,127,25.2,277,23.4,18,32.7,163,29.6,107,66.7,105,1.4,8
16,Vanderbilt,5,SEC,4,3-1,3,1,0.75,108.8,94,85.8,8,0.939,16,48.0,178,41.3,15,15.9,73,19.0,139,29.7,185,29.0,117,33.6,185,43.3,238,50.0,107,47.0,131,30.1,222,20.3,8,41.7,36,34.3,192,64.1,180,1.2,13
17,Indiana,4,B10,3,2-1,2,1,0.6667,126.8,4,100.3,132,0.937,17,52.9,71,50.6,196,17.0,109,13.9,290,36.3,70,27.5,86,53.2,17,25.7,45,44.7,230,40.5,26,50.0,5,45.3,293,26.9,259,36.6,236,68.3,59,0.46,39
19,North Carolina State,11,ACC,5,4-1,4,1,0.8,114.0,47,91.2,29,0.9287,19,52.9,71,43.9,41,18.6,162,17.1,207,30.7,166,30.9,147,39.5,108,30.3,85,52.5,65,46.6,122,36.1,124,26.0,35,26.1,273,35.0,202,69.0,47,1.4,9
20,New Mexico,5,MWC,5,5-0,5,0,1.0,119.1,22,95.4,75,0.9278,20,56.2,28,45.7,77,14.2,39,15.7,244,24.0,274,19.2,10,51.2,27,33.8,132,54.4,43,43.4,62,39.0,75,33.0,135,41.7,36,37.6,251,65.9,122,1.3,10
21,Baylor,3,B12,4,2-2,2,2,0.5,125.3,6,100.6,143,0.9256,21,49.4,148,53.1,240,16.4,92,15.0,262,39.0,42,32.6,175,34.6,169,44.9,253,50.6,97,53.2,246,31.3,205,35.2,168,32.5,168,31.6,136,67.4,81,0.9,18
23,Detroit,15,Horz,3,3-0,3,0,1.0,111.2,70,90.2,22,0.9178,23,52.5,83,46.1,88,17.9,135,23.4,33,33.0,127,28.9,115,46.3,47,37.9,187,53.5,49,52.9,243,33.3,160,21.6,11,29.6,221,33.3,171,68.1,67,1.0,15
24,Florida,7,SEC,3,1-2,1,2,0.3333,127.4,3,103.3,171,0.9178,24,50.0,129,54.0,250,11.3,8,13.0,305,25.3,253,36.7,254,19.2,309,28.7,67,46.2,195,54.3,263,36.5,121,35.1,166,44.3,19,22.6,22,59.8,298,0.29,49
25,UConn,9,BE,4,3-1,3,1,0.75,112.5,58,91.8,34,0.9121,25,52.2,90,41.1,14,16.1,84,13.7,297,34.8,100,38.9,281,32.0,201,24.8,35,50.6,97,42.0,42,37.1,107,26.0,35,30.7,206,28.7,81,61.5,267,0.8,21
27,UNLV,6,MWC,4,2-2,2,2,0.5,107.6,113,88.3,11,0.9073,27,46.9,201,47.3,119,17.4,122,20.8,84,21.9,291,24.6,42,38.2,120,35.3,152,43.7,245,48.8,177,35.1,141,29.9,90,36.3,103,37.7,253,69.4,42,-0.3,102
28,Kansas,2,B12,3,2-1,2,1,0.6667,119.6,19,98.1,104,0.9072,28,55.2,36,43.1,30,18.8,169,15.8,240,34.5,106,35.4,236,52.6,20,36.7,173,52.6,62,42.0,42,42.1,33,30.6,102,24.7,290,27.2,55,68.4,56,0.32,47
30,Saint Louis,9,A10,3,2-1,2,1,0.6667,115.6,38,95.9,81,0.896,30,53.0,70,53.7,246,19.6,192,18.6,147,30.9,164,18.8,8,33.3,186,34.0,135,51.5,79,49.5,189,37.1,107,42.2,269,37.6,81,30.0,114,64.2,177,0.38,43
31,Syracuse,1,BE,3,2-1,2,1,0.6667,110.7,76,92.2,39,0.891,31,48.1,175,42.5,22,18.7,165,20.9,81,33.0,127,43.8,307,37.0,140,19.3,5,42.2,274,44.2,70,37.5,101,26.5,43,41.6,40,37.6,251,61.6,263,0.7,26
32,Creighton,8,MVC,3,3-0,3,0,1.0,120.9,14,100.9,144,0.8893,32,58.6,10,45.7,77,14.1,32,8.8,323,30.4,171,18.3,6,40.8,96,30.3,85,58.3,12,46.1,113,39.3,67,29.8,88,36.1,105,30.8,123,65.9,122,0.8,23
33,West Virginia,10,BE,2,1-1,1,1,0.5,106.5,123,89.1,17,0.8865,33,34.3,321,49.5,170,14.1,32,21.5,68,44.8,4,24.1,37,30.6,222,35.1,151,37.6,310,53.2,246,16.1,318,28.1,68,25.0,286,34.0,186,60.9,279,0.21,55
34,Iowa State,8,B12,3,1-2,1,2,0.3333,109.1,90,91.4,31,0.8851,34,49.7,140,47.0,110,18.1,148,13.8,293,35.1,90,27.5,86,23.8,287,32.8,120,47.7,169,50.4,204,35.1,141,25.5,30,40.0,53,27.4,60,69.6,40,-0.11,82
