Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,WinPct,ConfWins,ConfLosses,ConfWinPct,AdjOE,Rk_AdjOE,AdjDE,Rk_AdjDE,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Kentucky,1,SEC,34,32-2,16-0,32,2,0.9412,16,0,1.0,119.7,3,88.5,9,0.9702,1,53.4,26,41.6,1,17.2,20,18.1,281,38.4,17,31.0,120,40.0,74,25.6,7,52.5,21,38.8,1,37.1,56,32.1,72,27.3,297,30.0,74,66.1,173,11.3,1
2,Ohio St.,2,B10,34,27-7,13-5,27,7,0.7941,13,5,0.7222,115.5,9,85.5,1,0.9695,2,52.5,50,46.3,51,17.4,25,22.5,54,35.7,51,24.9,2,37.0,157,28.6,26,53.8,11,45.3,70,32.6,242,32.2,76,26.1,316,35.5,261,68.1,77,7.7,8
3,Kansas,2,B12,33,27-6,16-2,27,6,0.8182,16,2,0.8889,114.7,14,88.1,8,0.9542,3,54.0,14,43.9,10,19.6,135,20.7,145,34.9,68,28.6,48,41.1,54,34.3,130,54.1,9,40.0,2,35.8,98,34.7,185,30.5,225,32.2,147,67.9,86,8.2,6
4,Michigan St.,1,B10,34,27-7,13-5,27,7,0.7941,13,5,0.7222,112.7,21,86.7,3,0.9532,4,52.7,43,43.0,6,19.8,151,19.7,190,37.2,23,27.5,26,39.0,102,34.2,124,51.9,31,42.6,13,36.5,73,29.2,9,27.8,287,35.6,265,66.1,173,8.6,4
5,North Carolina,1,ACC,34,29-5,14-2,29,5,0.8529,14,2,0.875,115.8,8,89.6,12,0.9502,5,50.0,136,45.1,28,16.2,9,18.5,260,40.5,7,27.7,30,38.1,125,22.0,1,49.6,103,43.5,29,34.0,175,31.9,63,22.9,339,35.9,275,72.7,7,8.3,5
6,Missouri,2,B12,34,30-4,14-4,30,4,0.8824,14,4,0.7778,124.0,1,96.6,83,0.9462,6,57.8,2,49.7,204,15.4,3,21.6,95,30.6,227,31.9,159,37.7,138,27.2,14,56.9,1,47.6,165,39.5,13,36.2,260,37.5,73,30.8,94,66.7,137,8.7,3
7,Syracuse,1,BE,33,31-2,17-1,31,2,0.9394,17,1,0.9444,115.4,10,90.1,14,0.9449,7,51.9,62,44.0,14,16.0,7,25.2,5,36.6,26,39.3,341,31.8,281,29.8,39,52.0,29,42.9,18,34.5,150,30.6,25,31.3,203,36.1,280,66.2,169,10.8,2
8,Wisconsin,4,B10,33,24-9,12-6,24,9,0.7273,12,6,0.6667,110.6,37,87.4,4,0.9379,8,49.7,143,41.8,2,15.1,2,18.5,260,30.4,232,28.1,38,31.1,300,29.9,40,46.6,215,41.3,4,36.1,87,28.9,7,40.4,31,24.0,3,58.8,345,4.8,14
9,Wichita St.,5,MVC,31,26-5,16-2,26,5,0.8387,16,2,0.8889,115.9,7,92.6,27,0.9297,9,54.2,12,44.7,22,17.9,45,18.7,248,33.5,137,26.3,9,35.2,197,33.4,108,53.5,13,43.5,29,37.0,58,31.4,45,33.1,164,32.4,158,66.8,131,4.4,17
10,Saint Louis,9,A10,31,24-7,12-4,24,7,0.7742,12,4,0.75,111.0,31,89.6,11,0.9219,10,52.1,58,44.9,23,17.8,42,23.4,29,31.9,181,29.4,64,35.1,202,37.4,199,50.2,81,43.8,35,36.9,61,32.1,72,36.3,97,25.6,9,62.4,317,2.8,29
