Rk,Team,Seed,Conf,G,Rec,Wins,Losses,WinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
1,Duke,,ACC,34,32-2,32,2,0.9412,128.1,4,90.8,1,0.9813,1,56.8,13,46.2,12,15.7,115,18.1,92,38.1,8,24.8,7,37.8,108,23.7,2,60.1,8,46.6,20,35.1,107,30.4,17,44.4,79,45.7,341,65.8,267,13.7,2
2,Michigan,,B10,34,31-3,31,3,0.9118,127.6,6,91.0,2,0.9799,2,58.1,9,44.7,1,16.7,175,15.5,251,35.4,40,27.7,55,37.7,112,26.3,16,61.0,3,44.3,4,36.0,56,30.2,10,41.8,136,41.8,268,71.2,20,14.0,1
3,Arizona,,B12,34,32-2,32,2,0.9412,126.9,9,91.4,3,0.9776,3,55.1,38,45.0,3,15.1,67,16.7,172,38.1,8,26.9,31,42.9,22,27.7,29,55.4,51,43.8,2,36.0,56,31.4,44,26.8,362,37.2,109,70.0,43,13.7,3
4,Florida,,SEC,33,26-7,26,7,0.7879,126.1,11,92.3,4,0.9732,4,53.5,83,46.3,14,16.5,161,15.4,258,43.2,2,24.8,7,39.1,79,34.0,149,57.9,23,45.2,8,30.8,324,32.4,83,37.1,228,33.7,28,70.4,32,8.5,7
5,Houston,,B12,34,28-6,28,6,0.8235,125.4,12,92.4,5,0.971,5,52.1,141,46.6,17,13.0,4,21.0,13,35.9,28,30.9,196,26.9,352,39.0,282,51.9,170,45.5,9,34.9,126,32.1,67,40.8,151,40.9,235,63.3,352,9.0,5
6,Illinois,,B10,32,24-8,24,8,0.75,131.9,2,98.2,24,0.9676,6,55.1,38,47.6,34,13.2,9,11.6,365,38.7,3,27.0,37,32.9,239,20.6,1,58.2,18,48.0,43,34.7,137,31.4,44,50.7,11,42.2,274,65.7,272,6.6,16
7,Iowa State,,B12,34,27-7,27,7,0.7941,123.8,23,92.6,6,0.9655,7,56.5,17,49.5,83,15.1,67,22.4,4,35.3,44,28.1,69,34.0,210,27.9,33,55.5,48,50.5,117,38.7,11,32.1,67,38.8,194,42.8,290,67.0,208,7.4,12
8,Purdue,,B10,35,27-8,27,8,0.7714,133.3,1,100.3,36,0.9636,8,57.6,11,52.3,228,13.5,15,15.6,246,36.3,23,26.4,24,28.6,336,26.0,13,58.1,20,53.1,240,37.9,19,34.2,195,40.9,146,45.0,333,64.4,325,9.2,4
9,UConn,,BE,34,29-5,29,5,0.8529,123.1,25,95.0,12,0.9518,9,55.3,33,45.7,9,16.8,183,18.0,98,35.7,33,28.7,94,30.0,310,40.2,301,57.1,31,45.8,12,35.2,104,30.3,13,40.3,163,36.2,83,64.6,323,8.8,6
10,Vanderbilt,,SEC,34,26-8,26,8,0.7647,127.4,7,99.3,29,0.9461,10,55.3,33,48.8,57,13.3,11,17.9,102,31.2,156,31.6,229,38.2,99,41.0,312,56.8,36,49.1,67,35.5,87,32.2,72,43.6,100,37.9,124,69.0,94,7.3,14
