Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2,BTHOT__Rk__1,BTHOT__Conf__1,BTHOT__G__1,BTHOT__Rec__1,BTHOT__Wins__1,BTHOT__Losses__1,BTHOT__WinPct__1,BTHOT__AdjO__1,BTHOT__Rk_AdjO__1,BTHOT__AdjD__1,BTHOT__Rk_AdjD__1,BTHOT__Barthag__1,BTHOT__Rk_Barthag__1,BTHOT__EFG%__1,BTHOT__Rk_EFG%__1,BTHOT__EFGD%__1,BTHOT__Rk_EFGD%__1,BTHOT__TOR__1,BTHOT__Rk_TOR__1,BTHOT__TORD__1,BTHOT__Rk_TORD__1,BTHOT__ORB__1,BTHOT__Rk_ORB__1,BTHOT__DRB__1,BTHOT__Rk_DRB__1,BTHOT__FTR__1,BTHOT__Rk_FTR__1,BTHOT__FTRD__1,BTHOT__Rk_FTRD__1,BTHOT__2P%__1,BTHOT__Rk_2P%__1,BTHOT__2P%D__1,BTHOT__Rk_2P%D__1,BTHOT__3P%__1,BTHOT__Rk_3P%__1,BTHOT__3P%D__1,BTHOT__Rk_3P%D__1,BTHOT__3PR__1,BTHOT__Rk_3PR__1,BTHOT__3PRD__1,BTHOT__Rk_3PRD__1,BTHOT__AdjT__1,BTHOT__Rk_AdjT__1,BTHOT__WAB__1,BTHOT__Rk_WAB__1,BTHOT__Rk__2,BTHOT__Conf__2,BTHOT__G__2,BTHOT__Rec__2,BTHOT__Wins__2,BTHOT__Losses__2,BTHOT__WinPct__2,BTHOT__AdjO__2,BTHOT__Rk_AdjO__2,BTHOT__AdjD__2,BTHOT__Rk_AdjD__2,BTHOT__Barthag__2,BTHOT__Rk_Barthag__2,BTHOT__EFG%__2,BTHOT__Rk_EFG%__2,BTHOT__EFGD%__2,BTHOT__Rk_EFGD%__2,BTHOT__TOR__2,BTHOT__Rk_TOR__2,BTHOT__TORD__2,BTHOT__Rk_TORD__2,BTHOT__ORB__2,BTHOT__Rk_ORB__2,BTHOT__DRB__2,BTHOT__Rk_DRB__2,BTHOT__FTR__2,BTHOT__Rk_FTR__2,BTHOT__FTRD__2,BTHOT__Rk_FTRD__2,BTHOT__2P%__2,BTHOT__Rk_2P%__2,BTHOT__2P%D__2,BTHOT__Rk_2P%D__2,BTHOT__3P%__2,BTHOT__Rk_3P%__2,BTHOT__3P%D__2,BTHOT__Rk_3P%D__2,BTHOT__3PR__2,BTHOT__Rk_3PR__2,BTHOT__3PRD__2,BTHOT__Rk_3PRD__2,BTHOT__AdjT__2,BTHOT__Rk_AdjT__2,BTHOT__WAB__2,BTHOT__Rk_WAB__2
Louisville,1,82,Colorado State,8,56,Louisville,True,3,BE,29-5,29,5,0.8529411764705882,33.5,114.5,15,81.0,1,67.3,111,-0.03,255,10.1,6,105.8,10,95.7,9,,96,19,MWC,25-8,25,8,0.7575757575757576,21.1,117.7,7,96.6,97,65.0,215,-0.003,192,7.2,28,104.0,66,96.8,37,,170,3,BE,34,29-5,29,5,0.8529,112.6,21,83.5,1,0.9686,3,49.5,120,44.0,18,18.7,99,27.6,2,38.4,14,33.7,253,38.8,92,33.7,120,49.5,87,42.7,26,33.1,209,31.2,49,30.3,257,33.5,190,67.5,104,9.0,1,30,MWC,31,23-8,23,8,0.7419,115.5,8,97.4,112,0.876,30,48.9,146,48.2,152,16.7,17,16.9,314,41.8,2,23.3,1,43.3,24,36.6,187,48.4,133,46.6,138,33.4,188,33.9,168,27.3,299,37.6,312,64.8,228,2.0,34,3,BE,34,29-5,29,5,0.1471,6.6,0.0,0.4,6.0,0.0141,-2.0,2.4,-36.0,0.3,48.0,1.2,97.0,-0.1,5.0,-2.2,48.0,5.8,32.0,5.4,-23.0,-1.0,-1.0,-1.3,43.0,0.4,35.0,6.1,-140.0,-0.1,58.0,4.1,-121.0,1.6,11.0,-0.3,-25.0,-6.8,0.0,30,MWC,31,23-8,23,8,0.0081,6.3,1.0,3.7,33.0,0.0184,1.0,0.4,-10.0,4.8,84.0,-1.3,39.0,0.9,-138.0,0.7,8.0,-1.7,19.0,2.6,32.0,16.1,103.0,4.4,-72.0,6.6,109.0,-7.1,79.0,1.1,0.0,-1.4,-16.0,-5.3,-164.0,-0.6,-54.0,-1.75,16.0
Oregon,12,74,Saint Louis,4,57,Oregon,True,41,P12,26-8,26,8,0.7647058823529411,15.4,104.0,122,88.6,16,68.9,48,0.063,31,3.9,43,102.7,107,98.8,88,,325,20,A10,27-6,27,6,0.8181818181818182,21.1,108.1,59,87.0,7,65.1,208,-0.005,197,3.5,45,102.6,112,99.1,101,,259,41,P12,34,26-8,26,8,0.7647,103.8,117,89.2,13,0.8508,41,49.1,142,46.3,78,21.3,251,22.3,51,36.1,44,27.8,37,39.0,88,32.7,90,49.4,89,44.2,58,32.3,242,34.3,198,27.4,298,29.6,64,69.2,48,2.9,26,20,A10,33,27-6,27,6,0.8182,107.9,57,88.6,9,0.9061,20,50.7,83,45.6,54,17.6,42,23.4,22,28.1,288,28.3,49,44.7,17,35.6,164,50.0,68,44.3,60,34.7,126,32.8,111,34.3,139,26.8,21,64.7,235,3.9,20,41,P12,34,26-8,26,8,-0.1647,-1.1,57.0,4.8,45.0,-0.116,51.0,-2.1,53.0,4.2,112.0,-1.6,-60.0,-0.8,18.0,-4.1,102.0,1.3,84.0,-2.6,66.0,-3.2,-13.0,-5.9,156.0,1.4,61.0,6.3,-155.0,8.8,89.0,-2.9,-5.0,-3.7,-26.0,-1.1,-1.0,-2.66,27.0,20,A10,33,27-6,27,6,-0.0182,-3.3,91.0,-7.4,-6.0,0.0425,-10.0,-3.5,106.0,-3.0,-18.0,1.1,115.0,0.5,6.0,-1.0,-62.0,1.8,90.0,6.1,13.0,4.4,31.0,-1.2,57.0,-0.5,14.0,-5.1,104.0,-6.5,-65.0,2.5,-46.0,1.3,44.0,3.2,-182.0,-2.6,-13.0
Memphis,6,48,Michigan State,3,70,Michigan State,False,34,CUSA,30-4,30,4,0.8823529411764706,17.1,107.8,65,90.7,27,69.7,30,0.02,128,0.8,49,102.5,114,101.7,192,,175,10,B10,25-8,25,8,0.7575757575757576,25.4,112.8,24,87.4,8,64.4,244,0.006,162,12.3,1,107.3,2,95.0,3,,155,33,CUSA,34,30-4,30,4,0.8824,107.3,68,90.8,25,0.8719,33,53.2,29,45.6,54,20.8,224,22.0,61,36.2,41,30.6,113,37.9,111,35.0,149,51.8,33,43.5,40,37.9,26,33.5,151,28.3,291,30.5,83,69.5,37,4.7,15,13,B10,32,24-8,24,8,0.75,110.4,33,89.1,12,0.9218,13,50.7,83,45.0,35,20.5,203,19.7,187,35.5,55,28.3,49,36.7,150,32.6,88,50.4,53,44.8,73,34.4,142,30.2,23,27.3,299,33.8,197,64.6,237,6.7,8,33,CUSA,34,30-4,30,4,0.1176,6.7,-27.0,5.0,56.0,0.0094,1.0,3.2,-1.0,2.0,75.0,-3.3,-101.0,-1.9,50.0,-4.2,105.0,-0.4,30.0,-5.7,95.0,-4.3,-59.0,-0.6,51.0,4.0,116.0,6.4,-4.0,-1.5,-36.0,5.8,-149.0,-1.0,3.0,0.7,-17.0,-3.8,-1.0,13,B10,32,24-8,24,8,0.0,3.4,10.0,0.7,16.0,0.0163,0.0,-3.1,99.0,0.4,52.0,-0.6,-7.0,0.6,-80.0,2.0,-12.0,4.8,146.0,-8.1,105.0,-9.5,-69.0,-3.6,114.0,6.9,160.0,-1.1,29.0,-5.2,4.0,-1.6,-12.0,10.4,105.0,-3.7,26.0,-5.6,3.0
Creighton,7,50,Duke,2,66,Duke,False,14,MVC,27-7,27,7,0.7941176470588235,23.5,118.3,6,94.8,76,65.0,212,-0.021,234,4.8,39,103.2,94,98.4,79,,113,5,ACC,27-5,27,5,0.84375,28.8,119.4,4,90.6,26,67.9,82,0.018,134,9.9,8,106.7,8,96.8,39,,20,14,MVC,34,27-7,27,7,0.7941,118.0,5,95.5,81,0.9187,14,59.1,1,45.9,65,18.8,105,16.2,325,29.2,251,27.0,18,33.6,237,25.8,11,56.4,3,45.4,90,42.1,1,31.3,54,39.6,38,33.1,174,65.3,206,3.6,22,6,ACC,32,27-5,27,5,0.8438,118.0,4,91.3,30,0.9502,6,54.4,12,45.7,59,15.6,4,20.9,120,29.4,243,32.9,214,37.7,118,31.4,69,51.1,43,46.3,123,40.6,5,29.3,10,33.3,162,26.8,21,68.1,78,7.6,4,14,MVC,34,27-7,27,7,0.2059,-1.2,22.0,-13.1,-77.0,0.0635,-12.0,-3.9,39.0,-9.8,-63.0,3.2,147.0,-3.0,-25.0,2.9,-108.0,4.0,137.0,3.5,-89.0,-0.2,26.0,-5.8,92.0,-10.2,-85.0,-0.7,40.0,-5.8,-17.0,1.0,6.0,-4.1,-91.0,-5.1,71.0,-2.5,-13.0,6,ACC,32,27-5,27,5,-0.3438,3.0,8.0,1.6,17.0,0.0042,1.0,-3.1,83.0,-0.1,31.0,0.4,69.0,-1.9,21.0,-1.5,-26.0,3.9,39.0,-11.4,157.0,2.2,61.0,9.7,-35.0,1.8,47.0,-18.1,297.0,-2.8,38.0,1.8,-39.0,3.3,72.0,-5.3,135.0,-7.41,55.0
Gonzaga,1,70,Wichita State,9,76,Wichita State,False,4,WCC,31-2,31,2,0.9393939393939394,31.8,120.0,3,88.2,12,64.6,228,0.033,90,4.3,41,103.6,79,99.3,106,,50,33,MVC,26-8,26,8,0.7647058823529411,17.8,109.1,50,91.3,31,64.5,230,-0.002,188,5.0,36,104.2,59,99.2,102,,137,4,WCC,32,30-2,30,2,0.9375,119.4,3,90.3,20,0.9615,4,55.5,7,44.2,24,17.1,26,20.9,120,37.4,23,30.2,98,41.0,48,29.5,44,55.9,5,42.1,10,36.4,60,31.8,70,31.1,230,38.0,314,65.2,210,7.8,2,35,MVC,34,26-8,26,8,0.7647,107.8,60,91.6,32,0.8668,35,50.2,99,46.0,69,19.8,156,20.4,147,38.0,18,25.3,6,35.8,176,37.4,207,50.1,66,44.0,51,33.7,172,33.0,119,35.2,110,36.2,291,64.8,228,2.3,31,4,WCC,32,30-2,30,2,0.0625,-8.8,75.0,-9.7,-18.0,0.0128,-1.0,-3.9,86.0,-5.2,-17.0,0.2,88.0,-0.3,-20.0,-7.0,146.0,-2.9,-18.0,9.0,-15.0,-2.8,5.0,-2.4,50.0,-2.4,14.0,-6.0,154.0,-6.3,-33.0,-6.6,63.0,6.8,-10.0,-3.5,34.0,-7.1,18.0,35,MVC,34,26-8,26,8,-0.098,2.9,16.0,1.6,17.0,0.0116,1.0,-5.8,158.0,-3.6,-39.0,-3.4,-64.0,-4.5,96.0,7.9,-12.0,2.7,92.0,-3.0,18.0,9.0,46.0,-6.3,175.0,-6.2,-42.0,-2.9,37.0,-0.2,6.0,-6.3,127.0,4.2,-13.0,-3.4,22.0,-2.11,29.0
Ole Miss,12,74,La Salle,13,76,La Salle,False,32,SEC,26-8,26,8,0.7647058823529411,18.2,111.8,28,93.6,56,70.8,11,0.002,177,3.3,46,101.9,129,98.6,81,,333,46,A10,21-9,21,9,0.7,14.2,109.8,43,95.6,83,66.5,141,0.03,98,4.5,40,103.3,89,98.8,90,,174,53,SEC,34,26-8,26,8,0.7647,109.7,37,95.9,87,0.8251,53,49.3,129,46.6,86,15.8,8,21.7,78,33.8,101,31.9,166,39.3,85,31.3,68,49.3,92,46.4,126,33.0,214,31.3,54,33.2,164,35.8,273,71.1,13,1.7,37,46,A10,31,22-9,22,9,0.7097,110.8,31,95.7,85,0.8423,46,52.1,49,49.4,201,17.3,33,21.8,74,29.3,248,33.0,221,31.3,286,28.8,31,49.7,81,50.7,277,37.6,34,30.3,26,35.9,86,24.7,6,66.4,148,0.47,48,53,SEC,34,26-8,26,8,0.2353,-1.4,67.0,-9.0,-70.0,0.1012,-38.0,0.5,-6.0,-1.2,1.0,-1.2,34.0,-1.5,31.0,-6.5,122.0,-3.5,-60.0,-1.9,57.0,-6.5,-37.0,4.8,-43.0,-1.7,-32.0,-6.5,51.0,-0.5,45.0,-3.2,57.0,10.7,39.0,-3.3,44.0,0.5,-35.0,46,A10,31,22-9,22,9,-0.2097,9.2,-14.0,7.8,93.0,0.0028,3.0,6.3,-35.0,7.0,79.0,0.7,104.0,-0.3,-5.0,-9.8,60.0,7.2,70.0,-0.6,-60.0,-2.9,9.0,8.2,-64.0,9.5,33.0,1.9,31.0,-0.7,57.0,4.2,-37.0,-0.2,17.0,-2.2,26.0,-0.97,77.0
Arizona,6,74,Harvard,14,51,Arizona,True,21,P12,25-7,25,7,0.78125,21.1,113.2,19,92.1,36,66.9,122,0.006,165,7.7,21,104.5,44,96.8,36,,108,56,Ivy,19-9,19,9,0.6785714285714286,6.1,106.0,84,99.9,145,64.4,243,0.015,141,0.0,51,100.9,149,100.9,154,,47,18,P12,32,25-7,25,7,0.7812,113.0,18,92.4,37,0.9097,18,51.9,51,47.0,107,19.5,141,20.5,142,35.4,56,27.2,26,37.4,129,32.1,78,50.3,56,44.0,51,36.3,67,36.0,272,37.9,55,30.4,81,67.0,123,4.6,16,109,Ivy,27,18-9,18,9,0.6667,106.0,83,100.1,160,0.6576,109,55.0,11,49.0,188,21.1,243,21.1,105,26.1,322,31.5,154,50.4,2,30.7,59,52.4,22,49.0,227,40.1,7,32.7,106,33.8,153,28.5,38,64.9,222,-2.5,77,18,P12,32,25-7,25,7,-0.1145,6.7,0.0,0.9,14.0,0.0361,-7.0,-0.2,38.0,-0.5,-3.0,-1.5,-4.0,-2.5,24.0,2.1,-13.0,1.5,87.0,-10.7,141.0,11.8,153.0,0.2,40.0,2.6,83.0,-0.5,66.0,-5.2,-173.0,1.1,5.0,-5.2,-49.0,-3.4,68.0,-4.35,35.0,109,Ivy,27,18-9,18,9,0.3333,-2.5,84.0,3.0,11.0,-0.1478,55.0,0.7,23.0,-6.4,-152.0,-6.5,-201.0,-3.8,90.0,-9.1,-5.0,3.3,70.0,9.1,6.0,-4.0,-10.0,-3.3,100.0,-4.1,-129.0,6.1,6.0,-7.7,-79.0,-0.9,6.0,3.2,94.0,-9.3,93.0,2.6,-10.0
Iowa State,10,75,Ohio State,2,78,Ohio State,False,29,B12,22-11,22,11,0.6666666666666666,18.7,116.9,8,98.2,121,69.3,34,-0.034,266,5.5,35,103.1,96,97.6,59,,270,6,B10,26-7,26,7,0.7878787878787878,28.1,114.6,14,86.5,6,64.3,248,0.019,132,10.1,7,105.4,20,95.3,6,,272,37,B12,33,22-11,22,11,0.6667,115.5,9,98.5,134,0.8617,37,53.6,22,47.8,136,18.6,97,18.5,255,34.6,76,28.9,63,33.1,251,32.4,84,52.1,32,48.6,210,37.0,49,30.7,38,43.9,7,33.2,181,69.6,34,0.7,44,7,B10,33,26-7,26,7,0.7879,113.4,15,89.3,14,0.9397,7,50.8,79,45.2,41,16.6,15,20.7,133,32.2,147,27.6,35,34.2,224,28.4,28,50.0,68,43.6,41,35.1,110,32.0,78,31.1,230,35.7,269,65.0,216,7.2,6,37,B12,33,22-11,22,11,0.0833,6.4,-1.0,0.1,-18.0,0.0581,-20.0,1.8,14.0,0.2,2.0,2.1,120.0,-3.7,15.0,-0.2,15.0,-0.2,50.0,7.3,-148.0,-5.8,-36.0,5.0,-14.0,5.3,49.0,-1.4,88.0,-6.0,-12.0,2.7,5.0,1.6,14.0,0.8,-16.0,0.4,-34.0,7,B10,33,26-7,26,7,0.2121,0.9,24.0,-4.5,-6.0,0.029,-1.0,0.4,19.0,-1.9,8.0,0.4,89.0,-0.8,-15.0,-2.9,46.0,-0.7,42.0,-3.0,-1.0,-6.6,-15.0,5.4,-27.0,3.2,99.0,-5.9,125.0,-7.0,-51.0,4.5,-115.0,1.9,-23.0,-3.9,42.0,-5.1,-3.0
Kansas,1,70,North Carolina,8,58,Kansas,True,8,B12,29-5,29,5,0.8529411764705882,26.7,112.6,25,85.9,5,67.7,91,0.019,131,6.8,31,105.1,27,98.3,77,,79,28,ACC,24-10,24,10,0.7058823529411765,19.0,112.1,27,93.1,47,70.6,16,0.039,79,8.5,17,105.2,23,96.7,33,,186,5,B12,34,29-5,29,5,0.8529,112.3,22,86.0,5,0.9554,5,53.4,27,41.5,1,19.9,167,18.7,243,34.3,85,28.8,59,39.7,75,33.1,101,52.7,18,39.0,1,36.7,54,30.7,38,29.6,267,36.2,291,67.7,94,7.5,5,31,ACC,33,23-10,23,10,0.697,110.7,32,93.5,44,0.875,31,49.5,120,48.0,146,17.1,26,21.2,101,35.1,63,30.9,131,28.0,335,26.7,16,46.9,198,45.9,110,37.0,49,34.9,226,30.7,241,32.6,154,71.4,8,2.6,29,5,B12,34,29-5,29,5,-0.1029,1.0,28.0,5.8,34.0,-0.0366,13.0,3.7,-4.0,6.9,145.0,2.1,85.0,0.7,-114.0,0.7,-5.0,0.4,65.0,-5.8,105.0,1.3,42.0,4.1,5.0,10.7,205.0,1.9,33.0,0.2,68.0,2.5,-91.0,0.0,-72.0,-0.7,-11.0,-6.5,8.0,31,ACC,33,23-10,23,10,-0.097,8.6,-12.0,7.7,104.0,-0.0065,10.0,0.8,-8.0,4.1,74.0,-3.5,0.0,-1.6,23.0,-1.4,45.0,4.5,100.0,0.6,-80.0,5.5,99.0,0.2,-39.0,7.3,137.0,0.3,62.0,-1.6,-97.0,5.8,-140.0,0.3,6.0,-5.3,103.0,-2.0,-8.0
VCU,5,53,Michigan,4,78,Michigan,False,22,A10,26-8,26,8,0.7647058823529411,21.0,113.3,18,92.3,42,68.4,63,-0.01,214,4.3,42,103.6,83,99.3,108,,197,9,B10,26-7,26,7,0.7878787878787878,26.5,120.5,2,94.0,58,65.0,214,-0.011,218,9.2,12,105.6,13,96.4,21,,261,15,A10,34,26-8,26,8,0.7647,113.4,16,92.0,33,0.9172,15,51.3,68,50.0,231,17.1,26,28.6,1,37.0,29,34.7,292,30.6,299,41.0,279,50.4,53,49.7,255,35.2,104,33.6,158,36.2,80,33.0,170,68.3,69,2.7,27,8,B10,32,25-7,25,7,0.7812,120.4,2,95.0,67,0.9385,8,54.4,12,47.9,142,14.3,1,18.9,230,32.5,138,29.6,72,28.7,329,22.9,1,53.5,11,46.9,147,37.5,36,33.2,132,34.0,148,35.0,240,64.8,228,6.2,11,15,A10,34,26-8,26,8,-0.1647,-0.1,35.0,6.9,87.0,-0.0901,41.0,-1.8,63.0,4.0,18.0,-1.6,32.0,-4.0,22.0,-6.1,134.0,-0.7,-81.0,2.6,-110.0,14.2,19.0,-4.0,123.0,0.6,-41.0,2.4,1.0,7.4,104.0,-5.6,130.0,0.2,-2.0,1.6,-46.0,-2.46,28.0,8,B10,32,25-7,25,7,-0.2812,1.6,5.0,4.8,61.0,-0.0291,16.0,-6.4,159.0,0.1,-4.0,-4.4,1.0,-2.2,-12.0,-2.9,50.0,9.4,210.0,4.9,-146.0,1.0,25.0,-8.4,205.0,-1.7,-44.0,-0.9,88.0,4.5,79.0,-4.9,86.0,-10.3,-215.0,1.5,-121.0,-5.94,38.0
