Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__ConfRec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__ConfWins__1,BT__ConfLosses__1,BT__ConfWinPct__1,BT__AdjOE__1,BT__Rk_AdjOE__1,BT__AdjDE__1,BT__Rk_AdjDE__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__ConfRec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__ConfWins__2,BT__ConfLosses__2,BT__ConfWinPct__2,BT__AdjOE__2,BT__Rk_AdjOE__2,BT__AdjDE__2,BT__Rk_AdjDE__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2
Kansas,1,73,UConn,9,61,Kansas,True,1,B12,30-4,30,4,0.8823529411764706,27.0,119.0,8,92.0,5,69.7,127,0.062,40,10.6,2,109.6,6,99.0,4,,92,25,Amer,24-10,24,10,0.7058823529411765,16.4,110.3,61,93.9,16,66.4,298,-0.04,275,3.8,37,105.4,92,101.6,77,,221,1,B12,33,29-4,15-3,29,4,0.8788,15,3,0.8333,120.5,4,91.3,6,0.9607,1,55.9,9,45.3,19,17.8,148,19.1,104,32.2,88,28.8,124,39.0,111,37.2,181,52.2,47,43.3,18,42.2,3,33.0,82,33.4,226,32.2,71,70.1,113,11.4,1,32,Amer,34,24-10,11-7,24,10,0.7059,11,7,0.6111,110.4,68,93.3,18,0.8731,32,52.0,73,44.2,6,16.5,69,18.1,176,29.1,191,29.2,140,29.7,331,34.5,119,50.9,83,41.3,4,36.2,104,32.7,70,33.7,219,36.7,227,66.9,278,1.2,38
Maryland,5,73,Hawaii,13,60,Maryland,True,21,B10,25-8,25,8,0.7575757575757576,17.6,113.9,26,96.3,37,68.1,219,0.006,159,6.9,21,107.3,47,100.4,26,,212,46,BW,27-5,27,5,0.84375,10.4,106.9,107,96.5,40,71.2,71,0.009,149,-3.3,56,100.9,311,104.2,175,,342,27,B10,32,24-8,12-6,24,8,0.75,12,6,0.6667,115.1,27,96.4,44,0.8846,27,55.6,11,46.7,45,19.1,243,16.5,273,30.2,160,29.5,161,35.7,202,26.9,14,55.2,11,45.7,62,37.6,45,32.3,54,37.8,109,35.6,180,68.0,226,4.0,18,61,BW,30,25-5,13-3,25,5,0.8333,13,3,0.8125,107.3,110,95.9,38,0.785,61,52.5,54,44.9,12,18.4,196,19.9,66,30.9,130,26.7,51,46.3,6,39.3,231,54.6,15,43.8,24,32.8,252,31.3,27,39.6,70,33.6,104,71.4,62,1.0,39
Wichita State,11,57,Miami (FL),3,65,Miami (FL),False,14,MVC,25-8,25,8,0.7575757575757576,20.2,108.8,82,88.6,1,67.1,263,-0.078,331,1.9,42,102.5,243,100.6,29,,26,12,ACC,25-7,25,7,0.78125,20.4,117.4,12,97.0,43,66.8,278,0.054,56,9.4,8,109.6,7,100.2,23,,130,12,MVC,32,24-8,16-2,24,8,0.75,16,2,0.8889,111.4,56,89.7,2,0.9232,12,49.4,193,44.1,5,14.6,8,23.0,5,31.6,109,23.5,4,38.0,137,45.5,327,49.4,140,41.7,7,33.0,248,32.2,51,38.3,99,37.1,244,66.9,278,0.28,47,11,ACC,32,25-7,13-5,25,7,0.7812,13,5,0.7222,118.8,11,95.4,32,0.9256,11,53.9,30,48.0,85,16.0,40,17.5,215,30.5,144,29.2,140,40.0,90,28.8,32,53.4,24,46.9,92,36.6,80,33.6,114,34.1,212,29.8,21,67.2,265,6.9,9
Iowa,7,68,Villanova,2,87,Villanova,False,19,B10,21-10,21,10,0.6774193548387096,18.7,114.6,24,95.9,31,70.0,115,-0.099,342,7.4,18,108.4,24,101.0,51,,150,5,BE,29-5,29,5,0.8529411764705882,24.5,117.4,11,92.9,7,67.4,251,0.012,141,7.2,19,107.7,39,100.5,27,,77,18,B10,31,21-10,12-6,21,10,0.6774,12,6,0.6667,116.0,22,94.8,26,0.9111,18,51.8,85,47.4,66,15.0,14,18.9,119,32.3,87,31.4,259,33.4,260,25.2,9,48.7,171,48.0,130,38.2,31,31.0,17,35.1,178,38.7,285,70.0,117,2.0,34,2,BE,34,29-5,16-2,29,5,0.8529,16,2,0.8889,118.9,10,90.4,5,0.9591,2,54.3,24,46.3,29,16.4,60,20.4,49,28.6,208,28.7,121,34.3,239,31.4,61,56.4,5,43.9,26,34.4,180,33.5,108,43.8,24,37.5,262,67.3,257,9.0,2
Oregon,1,69,Saint Joseph's,8,64,Oregon,True,9,P12,28-6,28,6,0.8235294117647058,21.9,119.3,6,97.4,47,68.7,183,0.035,89,7.7,16,107.1,52,99.4,8,,165,35,A10,27-7,27,7,0.7941176470588235,13.3,112.6,33,99.3,75,71.2,67,0.034,92,2.5,41,104.8,107,102.3,101,,153,21,P12,33,27-6,14-4,27,6,0.8182,14,4,0.7778,117.7,16,96.9,48,0.9038,21,52.3,64,49.0,120,16.3,54,20.6,42,34.6,39,31.3,252,40.2,86,32.3,74,52.2,47,46.2,72,35.1,152,36.4,264,33.9,213,33.8,109,69.1,163,6.7,10,38,A10,34,27-7,13-5,27,7,0.7941,13,5,0.7222,113.0,38,96.9,47,0.8546,38,51.3,114,47.9,79,14.3,4,16.2,286,28.3,217,25.8,30,37.7,143,24.5,6,52.5,37,48.9,179,32.7,260,31.0,17,35.7,161,41.3,331,71.2,74,3.6,20
Yale,12,64,Duke,4,71,Duke,False,38,Ivy,22-6,22,6,0.7857142857142857,13.1,108.1,90,95.0,21,66.7,283,0.031,97,-1.0,50,104.1,147,105.1,222,,173,17,ACC,23-10,23,10,0.696969696969697,18.8,119.4,5,100.6,111,68.5,199,-0.039,272,9.1,10,109.9,3,100.8,42,,98,52,Ivy,27,21-6,13-1,21,6,0.7778,13,1,0.9286,108.2,100,95.3,30,0.8119,52,52.5,54,46.3,29,20.1,293,18.2,167,39.2,6,24.0,7,42.1,49,33.8,103,51.1,75,45.5,53,37.1,62,31.8,39,30.8,273,34.4,131,66.8,284,0.1,52,14,ACC,33,23-10,11-7,23,10,0.697,11,7,0.6111,121.5,2,98.5,74,0.9183,14,53.7,33,49.4,138,14.3,4,17.7,199,34.0,47,34.5,327,40.2,86,25.4,10,50.7,88,48.9,179,38.7,20,33.9,128,40.1,63,29.0,14,68.8,177,4.2,17
Northern Iowa,11,88,Texas A&M,3,92,Texas A&M,False,48,MVC,22-12,22,12,0.6470588235294118,8.8,105.9,133,97.1,45,62.9,346,0.017,127,3.2,39,104.1,149,100.9,46,,21,18,SEC,26-8,26,8,0.7647058823529411,18.8,112.6,34,93.8,11,67.4,250,0.002,169,6.5,26,107.7,41,101.2,57,,116,66,MVC,33,21-12,11-7,21,12,0.6364,11,7,0.6111,108.8,87,97.6,60,0.7763,66,53.3,44,48.6,105,15.2,16,18.7,135,17.8,351,27.2,61,32.8,273,23.6,2,51.5,64,48.5,155,37.2,55,32.6,64,42.3,38,38.9,287,63.4,346,-2.0,88,15,SEC,34,26-8,13-5,26,8,0.7647,13,5,0.7222,113.7,33,92.2,9,0.9176,15,51.4,109,47.1,53,17.2,108,20.9,27,35.0,32,30.0,187,37.5,152,32.4,77,50.7,88,45.6,59,35.0,157,32.9,78,37.0,128,39.5,303,68.1,223,5.1,13
VCU,10,81,Oklahoma,2,85,Oklahoma,False,33,A10,24-10,24,10,0.7058823529411765,13.5,108.7,84,95.2,22,69.9,118,-0.065,320,1.9,43,105.4,91,103.5,144,,182,8,B12,25-7,25,7,0.78125,22.1,115.4,21,93.3,10,70.8,84,0.008,154,10.4,4,109.7,5,99.3,6,,136,29,A10,34,24-10,14-4,24,10,0.7059,14,4,0.7778,111.4,55,93.8,20,0.8775,29,50.9,128,49.0,120,16.2,47,21.9,14,33.3,59,27.8,79,32.3,282,37.0,175,49.6,128,48.4,149,35.6,132,33.6,114,32.8,235,29.9,24,70.3,104,0.03,54,8,B12,32,25-7,12-6,25,7,0.7812,12,6,0.6667,117.6,17,92.8,16,0.9384,8,54.5,21,46.4,33,18.0,168,17.6,208,30.5,144,29.8,175,33.6,253,27.3,19,48.1,200,44.0,27,42.6,2,34.0,132,40.7,59,35.0,156,71.1,80,7.9,5
North Carolina,1,85,Providence,9,66,North Carolina,True,4,ACC,28-6,28,6,0.8235294117647058,25.7,119.6,4,93.9,15,72.0,47,-0.043,282,8.7,11,109.3,9,100.6,30,,101,41,BE,23-10,23,10,0.696969696969697,12.4,108.0,91,95.6,28,69.4,143,0.044,73,6.0,30,106.9,54,100.9,44,,256,7,ACC,34,28-6,14-4,28,6,0.8235,14,4,0.7778,120.1,6,94.3,22,0.9419,7,52.1,69,47.4,66,15.4,20,18.6,142,39.8,4,29.9,183,32.2,287,29.7,41,53.9,21,43.7,22,31.4,307,36.0,252,26.7,338,35.6,180,72.3,46,8.5,4,48,BE,33,23-10,10-8,23,10,0.697,10,8,0.5556,108.9,84,95.1,28,0.8267,48,48.1,250,48.8,112,16.3,54,20.7,38,30.9,130,30.2,197,37.7,143,27.8,23,48.1,200,49.2,195,32.1,284,32.1,44,36.9,134,33.6,104,69.5,141,3.3,24
Indiana,5,73,Kentucky,4,67,Indiana,True,11,B10,25-7,25,7,0.78125,20.6,119.2,7,98.6,65,68.8,178,-0.003,183,4.3,36,106.5,63,102.2,98,,272,6,SEC,26-8,26,8,0.7647058823529411,23.2,122.2,1,99.0,71,67.7,242,-0.035,268,7.1,20,106.9,55,99.8,10,,62,17,B10,32,25-7,15-3,25,7,0.7812,15,3,0.8333,120.1,7,98.0,62,0.9117,17,58.6,2,49.5,144,19.8,282,18.9,119,37.7,13,28.7,121,33.3,263,29.3,37,56.1,6,48.7,162,41.5,5,34.3,149,40.9,54,31.4,45,69.3,150,3.3,25,6,SEC,34,26-8,13-5,26,8,0.7647,13,5,0.7222,122.3,1,95.8,37,0.943,6,53.7,33,44.9,12,16.1,44,17.9,189,37.8,12,31.7,267,38.3,127,41.4,275,52.8,32,43.0,16,37.0,64,33.0,82,31.4,263,29.8,21,68.0,226,5.0,14
