Team__1,Seed__1,Score__1,Rk_AdjEM__1,Conf__1,W-L__1,Wins__1,Losses__1,WinPct__1,AdjEM__1,AdjO__1,Rk_AdjO__1,AdjD__1,Rk_AdjD__1,AdjT__1,Rk_AdjT__1,Luck__1,Rk_Luck__1,SOS_AdjEM__1,Rk_SOS_AdjEM__1,SOS_AdjO__1,Rk_SOS_AdjO__1,SOS_AdjD__1,Rk_SOS_AdjD__1,NCSOS_AdjEM__1,Rk_NCSOS_AdjEM__1,Team__2,Seed__2,Score__2,Rk_AdjEM__2,Conf__2,W-L__2,Wins__2,Losses__2,WinPct__2,AdjEM__2,AdjO__2,Rk_AdjO__2,AdjD__2,Rk_AdjD__2,AdjT__2,Rk_AdjT__2,Luck__2,Rk_Luck__2,SOS_AdjEM__2,Rk_SOS_AdjEM__2,SOS_AdjO__2,Rk_SOS_AdjO__2,SOS_AdjD__2,Rk_SOS_AdjD__2,NCSOS_AdjEM__2,Rk_NCSOS_AdjEM__2,Winning_Team,Win__1
Gonzaga,1,79,1,WCC,32-1,32,1,0.9696969696969696,33.11,120.8,10,87.7,2,69.8,72,0.016,150,0.72,126,104.9,138,104.2,127,0.94,135,Northwestern,8,73,37,B10,23-11,23,11,0.6764705882352942,15.45,111.2,59,95.8,35,64.8,300,0.021,132,7.66,53,108.6,52,101.0,50,-3.04,249,Gonzaga,True
Notre Dame,5,71,25,ACC,25-9,25,9,0.7352941176470589,21.06,118.9,16,97.8,58,66.8,220,0.021,131,10.57,24,110.2,24,99.7,22,-3.71,273,West Virginia,4,83,5,B12,26-8,26,8,0.7647058823529411,26.86,116.5,27,89.6,5,69.6,79,-0.043,288,9.81,28,109.4,38,99.5,16,-7.79,341,West Virginia,False
Xavier,11,91,40,BE,21-13,21,13,0.6176470588235294,15.21,114.8,33,99.6,74,66.9,219,0.03,99,10.92,19,110.7,19,99.8,23,5.55,39,Florida State,3,66,19,ACC,25-8,25,8,0.7575757575757576,22.6,116.7,25,94.1,24,70.5,52,0.023,127,9.57,32,110.8,18,101.3,57,-3.61,268,Xavier,True
Saint Mary's,7,60,14,WCC,28-4,28,4,0.875,24.68,119.0,14,94.3,26,59.0,350,0.034,87,-0.27,147,104.0,177,104.3,131,-4.34,290,Arizona,2,69,21,P12,30-4,30,4,0.8823529411764706,22.55,117.4,20,94.9,29,65.4,279,0.064,38,6.41,65,108.1,59,101.7,69,1.72,113,Arizona,False
Villanova,1,62,2,BE,31-3,31,3,0.9117647058823528,30.71,122.7,2,92.0,10,63.7,323,0.026,117,9.89,27,110.2,28,100.3,34,4.18,54,Wisconsin,8,65,23,B10,25-9,25,9,0.7352941176470589,22.21,113.6,39,91.3,8,63.0,333,-0.0,189,8.99,36,109.9,33,100.9,48,-1.0,195,Wisconsin,False
Virginia,5,39,7,ACC,22-10,22,10,0.6875,26.54,113.6,37,87.1,1,58.6,351,-0.051,296,12.0,10,111.4,9,99.4,14,2.64,80,Florida,4,65,9,SEC,24-8,24,8,0.75,26.17,115.8,30,89.6,4,68.6,119,-0.046,290,11.39,13,110.1,29,98.7,6,8.87,12,Florida,False
USC,11,78,59,P12,24-9,24,9,0.7272727272727273,12.13,112.4,48,100.3,86,68.6,117,0.078,18,3.98,77,108.0,62,104.0,120,-3.11,251,Baylor,3,82,12,B12,25-7,25,7,0.78125,25.02,117.3,22,92.2,12,62.8,337,0.002,183,12.76,5,111.4,8,98.6,5,1.55,120,Baylor,False
South Carolina,7,88,32,SEC,22-10,22,10,0.6875,16.76,105.4,151,88.6,3,67.9,170,-0.004,196,8.19,46,108.6,53,100.4,37,2.21,95,Duke,2,81,13,ACC,27-8,27,8,0.7714285714285715,24.96,121.0,7,96.0,38,67.7,185,0.027,110,12.23,6,111.5,7,99.2,13,0.08,160,South Carolina,True
North Carolina,1,72,3,ACC,27-7,27,7,0.7941176470588235,27.87,122.0,4,94.2,25,70.4,53,0.006,176,11.97,11,111.6,6,99.6,20,3.94,57,Arkansas,8,65,38,SEC,25-9,25,9,0.7352941176470589,15.41,116.6,26,101.2,99,69.1,95,0.093,7,7.35,56,107.9,63,100.5,40,-1.25,202,North Carolina,True
Middle Tennessee,12,65,46,CUSA,30-4,30,4,0.8823529411764706,14.65,111.7,54,97.0,48,64.0,315,0.012,160,-1.75,186,104.0,182,105.7,194,4.17,55,Butler,4,74,26,BE,23-8,23,8,0.7419354838709677,20.8,118.0,17,97.2,49,65.0,295,-0.001,190,10.59,23,110.5,22,99.9,27,5.13,43,Butler,False
