Team__1,Seed__1,Rk_AdjEM__1,Conf__1,W-L__1,Wins__1,Losses__1,WinPct__1,AdjEM__1,AdjO__1,Rk_AdjO__1,AdjD__1,Rk_AdjD__1,AdjT__1,Rk_AdjT__1,Luck__1,Rk_Luck__1,SOS_AdjEM__1,Rk_SOS_AdjEM__1,SOS_AdjO__1,Rk_SOS_AdjO__1,SOS_AdjD__1,Rk_SOS_AdjD__1,NCSOS_AdjEM__1,Rk_NCSOS_AdjEM__1,Team__2,Seed__2,Rk_AdjEM__2,Conf__2,W-L__2,Wins__2,Losses__2,WinPct__2,AdjEM__2,AdjO__2,Rk_AdjO__2,AdjD__2,Rk_AdjD__2,AdjT__2,Rk_AdjT__2,Luck__2,Rk_Luck__2,SOS_AdjEM__2,Rk_SOS_AdjEM__2,SOS_AdjO__2,Rk_SOS_AdjO__2,SOS_AdjD__2,Rk_SOS_AdjD__2,NCSOS_AdjEM__2,Rk_NCSOS_AdjEM__2
UConn,1,1,BE,31-3,31,3,0.9117647058823528,32.21,126.6,1,94.4,11,64.5,329,0.047,70,10.46,34,111.6,41,101.2,30,-3.36,285,Stetson,16,218,ASun,22-12,22,12,0.6470588235294118,-4.1,110.3,100,114.4,342,66.2,257,0.137,6,-3.33,267,105.3,219,108.6,314,4.74,74
Florida Atlantic,8,41,Amer,25-8,25,8,0.7575757575757576,16.24,119.0,16,102.7,109,68.1,138,-0.012,217,5.28,93,109.4,92,104.1,98,6.6,40,Northwestern,9,46,B10,21-11,21,11,0.65625,15.91,116.7,30,100.8,72,63.7,342,0.008,164,9.71,49,111.8,37,102.0,65,-7.39,355
San Diego State,5,21,MWC,24-10,24,10,0.7058823529411765,19.7,113.5,62,93.8,9,66.0,266,-0.032,268,11.03,25,112.7,16,101.7,47,10.7,9,UAB,12,106,Amer,23-11,23,11,0.6764705882352942,6.28,113.7,59,107.4,202,67.8,153,0.116,11,4.45,98,108.8,96,104.4,109,1.94,136
Auburn,4,4,SEC,27-7,27,7,0.7941176470588235,28.9,120.6,10,91.7,4,69.8,58,-0.067,324,9.6,53,111.9,35,102.3,71,1.45,152,Yale,13,84,Ivy,22-9,22,9,0.7096774193548387,9.47,110.8,89,101.4,90,64.5,327,0.001,177,2.09,127,108.3,102,106.2,176,5.38,61
BYU,6,16,B12,23-10,23,10,0.696969696969697,21.01,120.5,11,99.5,48,69.1,85,-0.034,274,9.64,52,110.5,74,100.8,22,-5.5,327,Duquesne,11,86,A10,24-11,24,11,0.6857142857142857,9.37,106.9,166,97.5,28,66.3,251,0.049,66,4.86,97,109.1,94,104.2,103,1.85,140
Illinois,3,10,B10,26-8,26,8,0.7647058823529411,23.99,125.6,3,101.6,93,69.9,56,-0.032,270,11.08,24,111.6,43,100.5,12,-2.25,261,Morehead State,14,111,OVC,26-8,26,8,0.7647058823529411,5.47,109.0,124,103.5,120,64.2,335,0.044,80,-5.79,319,103.1,297,108.9,334,7.96,24
Washington State,7,42,P12,24-9,24,9,0.7272727272727273,16.22,113.4,64,97.2,27,64.8,316,0.021,130,6.98,84,109.9,86,103.0,84,-5.1,317,Drake,10,51,MVC,28-6,28,6,0.8235294117647058,14.71,115.6,38,100.9,75,67.8,150,0.065,43,2.6,120,107.8,116,105.2,132,-1.46,243
Iowa State,2,5,B12,27-7,27,7,0.7941176470588235,26.72,113.9,55,87.1,1,67.3,179,0.012,155,10.38,37,111.0,58,100.6,15,-7.2,351,South Dakota State,15,134,Sum,22-12,22,12,0.6470588235294118,2.99,108.7,134,105.7,163,67.9,148,-0.018,233,-2.4,235,105.6,201,108.0,281,3.11,105
North Carolina,1,9,ACC,27-7,27,7,0.7941176470588235,24.65,117.8,24,93.2,6,70.4,41,-0.024,249,11.24,21,112.4,21,101.2,32,7.07,36,Howard,16,276,MEAC,18-16,18,16,0.5294117647058824,-8.26,105.5,192,113.8,334,67.5,163,0.023,119,-6.93,338,100.7,349,107.6,258,0.03,202
Mississippi State,8,30,SEC,21-13,21,13,0.6176470588235294,17.98,113.7,60,95.7,20,67.1,202,-0.044,290,11.15,22,112.6,18,101.4,39,0.7,173,Michigan State,9,18,B10,19-14,19,14,0.5757575757575758,20.03,113.8,57,93.7,8,65.2,305,-0.104,355,12.3,12,114.1,4,101.8,59,4.49,77
Saint Mary's,5,20,WCC,26-7,26,7,0.7878787878787878,19.89,114.9,45,95.0,16,61.9,358,0.02,133,3.06,108,108.3,105,105.2,133,5.38,60,Grand Canyon,12,53,WAC,29-4,29,4,0.8787878787878788,13.91,113.5,63,99.6,51,68.1,134,0.022,120,-1.42,209,104.1,277,105.6,148,-1.51,246
Alabama,4,13,SEC,21-11,21,11,0.65625,22.48,125.6,2,103.1,112,72.6,9,-0.028,261,13.67,6,114.5,1,100.8,18,9.15,18,Charleston,13,98,CAA,27-7,27,7,0.7941176470588235,7.61,113.7,58,106.1,176,69.8,59,0.05,64,-2.14,225,105.4,214,107.6,255,-0.14,203
Clemson,6,34,ACC,21-11,21,11,0.65625,16.94,117.4,27,100.5,67,66.1,260,-0.022,245,10.08,41,112.2,28,102.1,68,5.2,65,New Mexico,11,23,MWC,26-9,26,9,0.7428571428571429,18.94,115.4,41,96.5,23,72.7,8,-0.021,244,6.84,85,110.2,82,103.3,87,-0.38,212
Baylor,3,14,B12,23-10,23,10,0.696969696969697,22.3,122.5,6,100.2,64,65.6,281,-0.004,196,14.07,1,112.8,12,98.7,1,3.16,101,Colgate,14,145,Pat,25-9,25,9,0.7352941176470589,2.15,104.7,211,102.5,104,66.2,253,0.057,55,-6.97,340,101.9,330,108.9,328,6.56,41
Dayton,7,32,A10,24-7,24,7,0.7741935483870968,17.3,118.6,18,101.3,87,64.2,337,0.003,169,5.94,88,108.7,98,102.7,76,7.0,38,Nevada,10,36,MWC,26-7,26,7,0.7878787878787878,16.81,115.5,40,98.7,36,66.6,233,0.059,53,5.69,89,109.7,87,104.1,95,-1.1,231
Arizona,2,6,P12,25-8,25,8,0.7575757575757576,26.62,121.1,8,94.5,12,71.8,16,-0.043,288,10.79,26,111.9,34,101.1,26,10.43,10,Long Beach State,15,163,BW,21-14,21,14,0.6,-0.0,107.9,145,107.9,210,71.2,29,0.047,71,-0.56,182,104.9,245,105.5,144,1.51,150
Houston,1,2,B12,30-4,30,4,0.8823529411764706,31.72,118.9,17,87.1,2,63.3,348,0.053,61,11.75,14,111.9,36,100.1,6,-0.79,225,Longwood,16,157,BSth,21-13,21,13,0.6176470588235294,0.96,105.7,188,104.8,146,66.8,227,-0.047,295,-4.01,283,104.5,257,108.5,309,-6.74,344
Nebraska,8,28,B10,23-10,23,10,0.696969696969697,18.19,115.9,36,97.7,30,68.6,103,0.014,150,9.09,68,110.8,64,101.7,56,-5.24,322,Texas A&M,9,44,SEC,20-14,20,14,0.5882352941176471,16.11,116.0,31,99.9,57,65.8,269,-0.025,254,11.46,19,112.7,15,101.2,33,5.29,62
Wisconsin,5,17,B10,22-13,22,13,0.6285714285714286,20.6,120.1,13,99.5,47,65.2,307,-0.031,266,14.0,3,113.3,7,99.3,3,6.22,47,James Madison,12,59,SB,31-3,31,3,0.9117647058823528,12.9,113.9,56,101.0,79,69.5,71,0.027,110,-4.44,293,103.4,293,107.8,269,-6.59,342
Duke,4,8,ACC,24-8,24,8,0.75,24.88,121.8,7,97.0,26,66.7,231,-0.077,333,8.55,75,110.6,72,102.0,63,0.13,199,Vermont,13,104,AE,28-6,28,6,0.8235294117647058,6.98,107.1,159,100.1,62,63.2,349,0.063,48,-2.65,244,104.3,261,107.0,215,2.53,120
Texas Tech,6,24,B12,23-10,23,10,0.696969696969697,18.54,117.9,23,99.4,45,66.6,234,0.04,89,10.53,31,111.3,49,100.8,17,-2.37,263,NC State,11,58,ACC,22-14,22,14,0.6111111111111112,13.06,114.4,47,101.3,89,68.1,137,-0.0,183,9.33,58,110.9,63,101.5,44,-4.92,315
Kentucky,3,19,SEC,23-9,23,9,0.71875,20.02,122.7,5,102.7,108,72.6,11,-0.027,257,9.11,66,111.3,48,102.2,70,-0.19,205,Oakland,14,137,Horz,23-11,23,11,0.6764705882352942,2.82,108.6,135,105.8,165,66.7,232,0.082,21,-1.08,198,107.1,139,108.2,289,9.9,15
Florida,7,29,SEC,24-11,24,11,0.6857142857142857,18.19,119.3,14,101.1,83,71.7,18,-0.007,202,10.72,29,112.3,26,101.5,45,2.05,132,Colorado,10,26,P12,24-10,24,10,0.7058823529411765,18.47,117.6,25,99.1,42,67.5,165,0.012,156,8.13,76,110.3,80,102.1,69,-1.5,245
Marquette,2,12,BE,25-9,25,9,0.7352941176470589,22.74,118.3,21,95.6,19,69.0,91,0.036,98,13.13,7,113.3,6,100.2,8,8.27,23,Western Kentucky,15,132,CUSA,22-11,22,11,0.6666666666666666,3.06,105.6,191,102.5,103,75.1,1,-0.051,299,-2.53,243,103.7,289,106.2,174,-2.76,270
Purdue,1,3,B10,29-4,29,4,0.8787878787878788,29.12,125.0,4,95.9,21,67.4,175,0.045,75,13.74,4,114.0,5,100.3,10,10.35,13,Montana State,16,213,BSky,17-17,17,17,0.5,-3.9,103.3,234,107.2,198,68.8,96,-0.0,184,-3.05,257,105.6,203,108.7,319,0.07,201
Utah State,8,48,MWC,27-6,27,6,0.8181818181818182,15.11,115.6,39,100.5,68,68.5,107,0.1,14,6.02,87,109.4,91,103.3,88,1.84,141,TCU,9,33,B12,21-12,21,12,0.6363636363636364,17.29,115.1,44,97.8,31,69.7,63,-0.049,298,9.83,46,110.6,68,100.8,19,-8.4,357
Gonzaga,5,15,WCC,25-7,25,7,0.78125,21.56,121.0,9,99.4,46,69.1,83,-0.052,301,3.38,105,108.4,100,105.0,126,7.5,27,McNeese,12,60,Slnd,30-3,30,3,0.9090909090909092,12.86,114.0,51,101.2,84,65.6,282,0.016,144,-6.72,336,102.3,316,109.0,337,4.54,76
Kansas,4,22,B12,22-10,22,10,0.6875,19.23,113.4,65,94.2,10,68.9,92,0.048,69,13.73,5,112.9,11,99.1,2,5.23,64,Samford,13,81,SC,29-5,29,5,0.8529411764705882,9.79,113.1,69,103.3,116,72.5,14,0.129,9,-2.73,247,104.3,268,107.0,216,-5.57,330
South Carolina,6,49,SEC,26-7,26,7,0.7878787878787878,15.06,114.7,46,99.7,54,62.9,354,0.152,2,7.59,81,110.4,78,102.8,79,-6.0,337,Oregon,11,55,P12,23-11,23,11,0.6764705882352942,13.43,114.0,50,100.6,70,67.2,197,0.049,68,9.1,67,110.9,62,101.8,57,-0.15,204
Creighton,3,11,BE,23-9,23,9,0.71875,23.4,120.1,12,96.7,24,67.0,207,-0.013,220,11.14,23,112.1,29,101.0,25,5.13,69,Akron,14,116,MAC,24-10,24,10,0.7058823529411765,4.94,107.0,162,102.1,97,65.9,268,-0.002,191,-1.86,219,105.4,218,107.3,235,6.45,42
Texas,7,27,B12,20-12,20,12,0.625,18.4,118.5,19,100.1,61,67.2,196,-0.034,273,10.49,32,111.2,55,100.7,16,-2.96,277,Virginia,10,69,ACC,23-10,23,10,0.696969696969697,12.08,105.4,194,93.3,7,59.9,362,0.109,12,8.03,77,111.2,53,103.2,86,-1.19,236
Tennessee,2,7,SEC,24-8,24,8,0.75,25.97,117.0,29,91.0,3,69.2,79,-0.03,265,12.63,8,114.3,2,101.7,51,8.5,21,Saint Peter's,15,187,MAAC,19-13,19,13,0.59375,-2.32,98.6,305,100.9,76,64.0,338,0.021,129,-4.3,290,102.7,311,107.0,217,0.55,180
