Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__ConfRec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__ConfWins__1,BT__ConfLosses__1,BT__ConfWinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__ConfRec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__ConfWins__2,BT__ConfLosses__2,BT__ConfWinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2
Duke,1,,UMBC,16,,,,1,ACC,27-2,27,2,0.9310344827586208,39.62,127.5,6,87.9,1,65.5,277,0.034,97,13.81,13,116.6,23,102.8,8,11.43,16,221,AE,20-8,20,8,0.7142857142857143,-4.57,106.0,232,110.6,208,66.0,255,0.055,58,-13.83,365,101.4,365,115.2,365,-6.79,337,2,ACC,29,27-2,,27,2,0.931,,,,127.7,7,91.1,1,0.98,2,57.6,12,45.7,10,15.7,108,18.7,71,36.7,19,24.7,6,38.3,98,23.1,2,61.1,5,46.1,15,35.4,98,30.1,17,44.0,88,45.6,341,65.9,254,10.7,2,212,AE,28,20-8,,20,8,0.7143,,,,106.4,236,110.3,189,0.3976,212,53.1,100,49.8,94,14.2,29,14.9,299,24.1,346,25.1,12,33.4,225,25.6,10,53.9,88,49.7,87,34.5,152,33.3,132,38.0,212,36.9,97,65.7,263,-5.3,113
Iowa,8,,Georgia,9,,,,24,B10,20-9,20,9,0.6896551724137931,22.26,121.8,32,99.5,34,62.9,358,-0.028,277,9.63,67,114.7,58,105.0,63,-7.01,338,33,SEC,20-9,20,9,0.6896551724137931,20.52,124.6,16,104.1,79,71.2,22,-0.007,201,10.55,58,115.8,34,105.3,68,-5.93,326,23,B10,29,20-9,,20,9,0.6897,,,,122.7,30,100.9,33,0.9045,23,56.8,17,52.0,212,15.0,61,21.0,14,30.8,172,28.0,65,35.1,184,38.3,271,59.2,14,53.3,243,35.5,90,33.3,132,41.0,147,38.9,157,62.8,357,2.0,35,38,SEC,29,20-9,,20,9,0.6897,,,,124.6,20,105.2,90,0.8754,38,54.4,58,49.5,84,14.0,24,18.5,82,35.3,42,35.7,347,37.2,125,30.9,77,57.8,26,49.5,82,33.3,218,32.9,111,43.4,102,36.8,93,71.7,14,2.0,36
North Carolina,5,,McNeese,12,,,,29,ACC,22-6,22,6,0.7857142857142857,21.32,121.6,33,100.2,38,67.6,169,0.068,40,10.6,54,115.0,53,104.4,45,1.77,142,70,Slnd,25-5,25,5,0.8333333333333334,12.08,114.7,89,102.6,59,66.3,241,0.077,31,-1.6,207,107.7,247,109.3,174,10.09,22,25,ACC,29,23-6,,23,6,0.7931,,,,123.0,27,101.3,38,0.9033,25,54.7,53,47.8,38,13.8,18,13.7,344,32.2,119,28.3,74,39.1,80,23.8,3,57.5,31,45.8,14,33.9,184,34.2,187,41.8,136,36.8,93,67.7,155,4.7,17,79,Slnd,30,25-5,,25,5,0.8333,,,,114.2,96,104.3,77,0.7381,79,51.2,183,49.3,81,14.2,29,24.6,1,35.4,39,35.3,342,38.4,96,42.0,322,53.3,115,49.3,72,31.5,300,32.9,111,35.1,270,46.5,348,66.1,244,0.16,50
Alabama,4,,UNC Wilmington,13,,,,15,SEC,22-7,22,7,0.7586206896551724,26.54,129.3,3,102.7,61,73.2,3,0.046,71,16.96,3,119.5,2,102.5,5,13.26,9,102,CAA,25-4,25,4,0.8620689655172413,6.89,112.7,109,105.8,108,64.9,313,0.039,89,-4.77,272,106.1,291,110.8,232,-7.82,349,16,SEC,29,22-7,,22,7,0.7586,,,,130.3,3,103.0,54,0.9371,16,55.7,32,48.4,52,13.3,9,12.3,363,31.8,135,32.9,293,37.1,129,33.2,128,57.5,31,48.0,46,36.1,58,32.8,103,54.1,1,34.9,48,73.0,4,6.7,8,122,CAA,29,25-4,,25,4,0.8621,,,,111.7,131,107.5,129,0.6088,122,50.8,205,47.3,27,14.4,36,15.1,282,34.7,53,26.5,27,43.7,17,30.3,62,49.2,280,49.6,83,35.7,82,29.5,10,38.3,203,42.4,276,64.6,319,-1.0,62
Louisville,6,,Texas,11,,,,19,ACC,20-9,20,9,0.6896551724137931,25.94,124.5,17,98.6,29,70.6,29,-0.034,290,12.37,29,115.3,47,102.9,10,3.45,109,31,SEC,18-11,18,11,0.6206896551724138,21.02,127.1,7,106.1,113,66.3,242,-0.062,326,13.42,17,116.9,19,103.5,21,-5.34,314,19,ACC,29,20-9,,20,9,0.6897,,,,125.0,17,99.1,26,0.9352,19,56.5,19,48.3,50,16.6,167,16.8,170,33.5,79,26.5,27,33.8,220,33.6,137,59.8,9,47.9,44,35.8,75,32.6,95,53.4,3,39.7,192,70.3,35,2.9,27,39,SEC,29,18-11,,18,11,0.6207,,,,127.1,8,107.3,122,0.8752,39,54.9,48,50.7,136,15.3,74,13.8,340,37.1,15,27.2,45,46.4,2,40.1,301,56.3,46,49.3,72,34.9,125,35.7,278,36.3,242,34.1,31,66.4,223,1.0,39
Purdue,3,,North Dakota State,14,,,,7,B10,22-6,22,6,0.7857142857142857,31.26,129.5,2,98.3,27,65.3,294,-0.005,196,14.36,10,117.6,11,103.2,14,6.96,45,119,Sum,24-7,24,7,0.7741935483870968,4.59,112.4,117,107.8,148,66.3,236,0.038,92,-4.74,270,107.1,267,111.9,289,-0.36,208,7,B10,28,22-6,,22,6,0.7857,,,,131.1,2,99.2,27,0.9611,7,57.9,11,51.2,165,13.7,15,16.3,202,35.5,37,26.0,20,28.9,331,25.8,11,58.2,22,52.5,216,38.4,14,33.1,123,40.5,157,45.3,339,65.2,292,6.5,10,117,Sum,31,24-7,,24,7,0.7742,,,,113.2,111,108.3,153,0.6246,117,53.7,76,52.4,230,15.8,117,18.7,71,33.7,73,26.5,27,30.5,301,28.7,41,53.5,105,53.4,248,36.0,63,34.1,182,42.7,121,43.3,298,66.2,239,-3.6,91
North Carolina State,7,,Texas A&M,10,,,,32,ACC,19-10,19,10,0.6551724137931034,20.88,122.8,24,102.0,47,69.1,92,-0.016,224,11.45,36,115.8,35,104.3,44,4.7,85,39,SEC,19-10,19,10,0.6551724137931034,19.26,120.2,47,101.0,42,70.6,27,-0.024,257,10.43,59,116.6,22,106.2,88,-5.46,316,29,ACC,29,19-10,,19,10,0.6552,,,,123.3,26,102.6,50,0.8917,29,55.6,33,51.9,207,13.2,7,18.8,65,28.2,258,29.7,144,34.0,213,37.1,238,53.8,94,51.8,185,38.6,11,34.7,218,44.2,84,45.2,337,69.0,91,1.0,40,35,SEC,29,19-10,,19,10,0.6552,,,,121.3,38,101.9,42,0.8817,35,54.8,51,50.6,130,14.9,56,18.3,90,32.8,98,32.2,266,36.8,141,35.3,188,55.0,58,52.5,216,36.5,42,32.0,63,46.4,40,41.4,254,71.0,23,0.8,43
Houston,2,,Portland St.,15,,,,6,B12,24-5,24,5,0.8275862068965517,32.75,125.0,13,92.2,7,63.3,351,-0.008,205,12.3,30,116.0,31,103.6,26,1.17,163,160,BSky,18-10,18,10,0.6428571428571429,0.78,103.1,282,102.3,50,67.6,172,0.027,117,-0.94,184,110.3,120,111.2,250,2.25,129,5,B12,29,24-5,,24,5,0.8276,,,,126.9,9,93.2,5,0.972,5,52.0,147,46.7,19,12.7,3,21.3,10,36.3,23,30.5,179,27.0,351,39.9,294,52.5,150,46.4,18,34.1,172,31.4,45,41.5,141,41.2,249,63.2,350,6.8,7,162,BSky,28,18-10,,18,10,0.6429,,,,103.4,286,103.3,58,0.5019,162,50.9,195,48.5,54,18.0,260,17.7,117,30.5,186,26.8,34,35.7,163,43.5,338,51.2,205,48.6,56,33.6,201,32.2,77,34.3,288,39.4,178,67.3,182,-5.8,122
UConn,1,,Tennessee St.,16,,,,9,BE,27-3,27,3,0.9,29.24,123.1,21,93.9,12,65.0,309,0.066,45,12.02,32,115.5,40,103.5,20,8.81,27,208,OVC,21-9,21,9,0.7,-3.55,108.3,183,111.8,232,70.4,34,0.077,32,-7.57,326,103.4,348,111.0,241,6.29,56,8,BE,30,27-3,,27,3,0.9,,,,124.7,18,95.4,12,0.9562,8,56.1,26,45.3,6,16.2,145,18.2,95,34.6,56,28.9,104,31.2,282,39.8,290,57.1,37,44.9,8,36.5,42,30.6,31,40.0,168,35.6,62,64.9,303,8.8,4,233,OVC,30,21-9,,21,9,0.7,,,,108.0,190,113.9,262,0.3532,233,49.5,268,51.9,207,16.4,153,20.2,21,34.5,58,30.1,162,34.7,195,42.8,329,50.2,244,52.4,213,31.9,286,33.9,174,30.0,352,35.5,59,70.1,39,-5.7,118
Miami (FL),8,,UCLA,9,,,,34,ACC,23-6,23,6,0.7931034482758621,20.49,120.4,43,99.9,36,68.1,138,0.011,150,5.22,91,111.9,90,106.6,94,-7.22,343,41,B10,19-10,19,10,0.6551724137931034,18.57,122.0,29,103.4,69,64.8,317,0.017,143,10.99,42,115.5,41,104.5,51,-1.82,247,40,ACC,29,23-6,,23,6,0.7931,,,,120.3,44,101.6,41,0.8742,40,55.9,29,50.8,147,16.4,153,18.6,77,37.7,12,25.5,16,37.5,115,29.4,50,58.1,24,49.6,83,34.1,172,35.1,242,31.8,331,40.7,222,68.2,126,2.8,29,42,B10,29,19-10,,19,10,0.6552,,,,122.6,31,103.8,70,0.8711,42,53.5,85,50.6,130,13.6,12,18.3,90,31.0,164,32.5,282,33.9,216,35.4,189,51.7,184,53.3,243,37.9,21,31.6,52,35.2,268,45.1,335,64.7,314,1.5,37
