Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Arizona,1,68,Weber State,16,59,Arizona,True
Gonzaga,8,85,Oklahoma State,9,77,Gonzaga,True
Oklahoma,5,75,North Dakota State,12,80,North Dakota State,False
San Diego State,4,73,New Mexico State,13,69,San Diego State,True
Baylor,6,74,Nebraska,11,60,Baylor,True
Creighton,3,76,Louisiana-Lafayette,14,66,Creighton,True
Oregon,7,87,BYU,10,68,Oregon,True
Wisconsin,2,75,American,15,35,Wisconsin,True
Virginia,1,70,Coastal Carolina,16,59,Virginia,True
Memphis,8,71,George Washington,9,66,Memphis,True
Cincinnati,5,57,Harvard,12,61,Harvard,False
Michigan State,4,93,Delaware,13,78,Michigan State,True
North Carolina,6,79,Providence,11,77,North Carolina,True
Iowa State,3,93,NC Central,14,75,Iowa State,True
UConn,7,89,Saint Joseph's,10,81,UConn,True
Villanova,2,73,Milwaukee,15,53,Villanova,True
Florida,1,67,Albany,16,55,Florida,True
Colorado,8,48,Pittsburgh,9,77,Pittsburgh,False
VCU,5,75,Stephen F. Austin,12,77,Stephen F. Austin,False
UCLA,4,76,Tulsa,13,59,UCLA,True
Ohio State,6,59,Dayton,11,60,Dayton,False
Syracuse,3,77,Western Michigan,14,53,Syracuse,True
New Mexico,7,53,Stanford,10,58,Stanford,False
Kansas,2,80,Eastern Kentucky,15,69,Kansas,True
Wichita State,1,64,Cal Poly,16,37,Wichita State,True
Kentucky,8,56,Kansas State,9,49,Kentucky,True
Saint Louis,5,83,NC State,12,80,Saint Louis,True
Louisville,4,71,Manhattan,13,64,Louisville,True
Massachusetts,6,67,Tennessee,11,86,Tennessee,False
Duke,3,71,Mercer,14,78,Mercer,False
Texas,7,87,Arizona State,10,85,Texas,True
Michigan,2,57,Wofford,15,40,Michigan,True
