Team__1,Seed__1,Team__2,Seed__2
Auburn,1,Alabama State,16
Louisville,8,Creighton,9
Michigan,5,UC San Diego,12
Texas A&M,4,Yale,13
Ole Miss,6,North Carolina,11
Iowa State,3,Lipscomb,14
Marquette,7,New Mexico State,10
Michigan State,2,Bryant,15
Florida,1,Norfolk State,16
UConn,8,Oklahoma,9
Memphis,5,Colorado State,12
Maryland,4,Grand Canyon,13
Missouri,6,Drake,11
Texas Tech,3,UNC Wilmington,14
Kansas,7,Arkansas,10
St. John's,2,Omaha,15
Duke,1,Mount St. Mary's,16
Mississippi State,8,Baylor,9
Oregon,5,Liberty,12
Arizona,4,Akron,13
BYU,6,VCU,11
Wisconsin,3,Montana,14
Saint Mary's,7,Vanderbilt,10
Alabama,2,Robert Morris,15
Houston,1,SIU Edwardsville,16
Gonzaga,8,Georgia,9
Clemson,5,McNeese,12
Purdue,4,High Point,13
Illinois,6,Xavier,11
Kentucky,3,Troy,14
UCLA,7,Utah State,10
Tennessee,2,Wofford,15
