Team__1,Seed__1,Score__1,Rk_AdjEM__1,Conf__1,W-L__1,Wins__1,Losses__1,WinPct__1,AdjEM__1,AdjO__1,Rk_AdjO__1,AdjD__1,Rk_AdjD__1,AdjT__1,Rk_AdjT__1,Luck__1,Rk_Luck__1,SOS_AdjEM__1,Rk_SOS_AdjEM__1,SOS_AdjO__1,Rk_SOS_AdjO__1,SOS_AdjD__1,Rk_SOS_AdjD__1,NCSOS_AdjEM__1,Rk_NCSOS_AdjEM__1,Team__2,Seed__2,Score__2,Rk_AdjEM__2,Conf__2,W-L__2,Wins__2,Losses__2,WinPct__2,AdjEM__2,AdjO__2,Rk_AdjO__2,AdjD__2,Rk_AdjD__2,AdjT__2,Rk_AdjT__2,Luck__2,Rk_Luck__2,SOS_AdjEM__2,Rk_SOS_AdjEM__2,SOS_AdjO__2,Rk_SOS_AdjO__2,SOS_AdjD__2,Rk_SOS_AdjD__2,NCSOS_AdjEM__2,Rk_NCSOS_AdjEM__2,Winning_Team,Win__1,Year,Round
Wisconsin,1,86,2,B10,31-3,31,3,0.9117647058823528,30.2,124.6,1,94.4,31,58.8,347,0.009,166,7.4,14,105.9,32,98.5,17,,37,Coastal Carolina,16,72,58,BSth,24-9,24,9,0.7272727272727273,1.8,103.8,133,102.0,158,64.4,191,0.006,173,-5.4,62,100.6,269,106.0,338,,186,Wisconsin,True,2015,1
Wisconsin,1,72,2,B10,31-3,31,3,0.9117647058823528,30.2,124.6,1,94.4,31,58.8,347,0.009,166,7.4,14,105.9,32,98.5,17,,37,Oregon,8,65,40,P12,25-9,25,9,0.7352941176470589,12.7,113.3,17,100.6,129,66.5,89,0.127,4,5.6,28,105.5,47,99.9,59,,265,Wisconsin,True,2015,2
Wisconsin,1,79,2,B10,31-3,31,3,0.9117647058823528,30.2,124.6,1,94.4,31,58.8,347,0.009,166,7.4,14,105.9,32,98.5,17,,37,North Carolina,4,72,16,ACC,24-11,24,11,0.6857142857142857,20.0,115.2,12,95.2,42,70.0,9,-0.034,269,10.5,2,108.1,2,97.6,6,,15,Wisconsin,True,2015,3
Wisconsin,1,85,2,B10,31-3,31,3,0.9117647058823528,30.2,124.6,1,94.4,31,58.8,347,0.009,166,7.4,14,105.9,32,98.5,17,,37,Arizona,2,78,3,P12,31-3,31,3,0.9117647058823528,29.6,116.0,10,86.4,3,66.7,80,-0.028,251,5.4,32,105.1,57,99.7,51,,177,Wisconsin,True,2015,4
Wisconsin,1,63,2,B10,31-3,31,3,0.9117647058823528,30.2,124.6,1,94.4,31,58.8,347,0.009,166,7.4,14,105.9,32,98.5,17,,37,Duke,1,68,6,ACC,29-4,29,4,0.8787878787878788,25.7,121.9,3,96.2,58,66.3,103,0.067,42,7.7,13,107.0,8,99.3,37,,116,Duke,False,2015,6
Oregon,8,79,40,P12,25-9,25,9,0.7352941176470589,12.7,113.3,17,100.6,129,66.5,89,0.127,4,5.6,28,105.5,47,99.9,59,,265,Oklahoma State,9,73,36,B12,18-13,18,13,0.5806451612903226,13.1,109.4,50,96.3,59,63.3,257,-0.034,267,9.1,5,105.7,39,96.6,2,,217,Oregon,True,2015,1
Arkansas,5,56,27,SEC,26-8,26,8,0.7647058823529411,15.7,113.2,19,97.5,78,70.0,10,0.047,70,5.6,29,105.3,51,99.7,49,,242,Wofford,12,53,51,SC,28-6,28,6,0.8235294117647058,5.9,103.3,144,97.4,77,61.5,315,0.141,1,-3.2,53,102.4,153,105.6,322,,23,Arkansas,True,2015,1
Arkansas,5,78,27,SEC,26-8,26,8,0.7647058823529411,15.7,113.2,19,97.5,78,70.0,10,0.047,70,5.6,29,105.3,51,99.7,49,,242,North Carolina,4,87,16,ACC,24-11,24,11,0.6857142857142857,20.0,115.2,12,95.2,42,70.0,9,-0.034,269,10.5,2,108.1,2,97.6,6,,15,North Carolina,False,2015,2
North Carolina,4,67,16,ACC,24-11,24,11,0.6857142857142857,20.0,115.2,12,95.2,42,70.0,9,-0.034,269,10.5,2,108.1,2,97.6,6,,15,Harvard,13,65,49,Ivy,22-7,22,7,0.7586206896551724,7.4,102.0,171,94.6,36,61.5,317,0.114,8,-0.1,47,102.3,161,102.4,161,,137,North Carolina,True,2015,1
Xavier,6,76,25,BE,21-13,21,13,0.6176470588235294,15.8,111.9,27,96.1,55,65.7,129,-0.063,317,8.6,8,106.7,13,98.1,11,,111,Ole Miss,11,57,34,SEC,21-12,21,12,0.6363636363636364,13.5,113.4,16,99.9,114,66.8,75,-0.045,286,6.4,25,105.0,62,98.6,20,,190,Xavier,True,2015,1
Xavier,6,75,25,BE,21-13,21,13,0.6176470588235294,15.8,111.9,27,96.1,55,65.7,129,-0.063,317,8.6,8,106.7,13,98.1,11,,111,Georgia State,14,67,48,SB,24-9,24,9,0.7272727272727273,9.5,108.6,56,99.1,101,63.3,259,-0.008,202,-1.7,50,100.1,293,101.8,130,,65,Xavier,True,2015,2
Xavier,6,60,25,BE,21-13,21,13,0.6176470588235294,15.8,111.9,27,96.1,55,65.7,129,-0.063,317,8.6,8,106.7,13,98.1,11,,111,Arizona,2,68,3,P12,31-3,31,3,0.9117647058823528,29.6,116.0,10,86.4,3,66.7,80,-0.028,251,5.4,32,105.1,57,99.7,51,,177,Arizona,False,2015,3
Baylor,3,56,13,B12,24-9,24,9,0.7272727272727273,20.4,114.9,13,94.5,33,62.2,299,-0.018,223,9.1,4,106.5,14,97.4,4,,169,Georgia State,14,57,48,SB,24-9,24,9,0.7272727272727273,9.5,108.6,56,99.1,101,63.3,259,-0.008,202,-1.7,50,100.1,293,101.8,130,,65,Georgia State,False,2015,1
VCU,7,72,30,A10,26-9,26,9,0.7428571428571429,14.6,108.2,60,93.6,22,67.1,67,0.059,49,6.4,24,105.8,35,99.4,41,,12,Ohio State,10,75,20,B10,23-10,23,10,0.696969696969697,16.6,111.5,30,94.9,39,66.4,97,-0.051,298,4.2,35,105.0,61,100.8,98,,330,Ohio State,False,2015,1
Arizona,2,93,3,P12,31-3,31,3,0.9117647058823528,29.6,116.0,10,86.4,3,66.7,80,-0.028,251,5.4,32,105.1,57,99.7,51,,177,Texas Southern,15,72,63,SWAC,22-12,22,12,0.6470588235294118,-3.2,101.7,178,104.9,221,64.0,217,0.131,3,-5.2,60,99.1,323,104.3,265,,1,Arizona,True,2015,1
Villanova,1,93,4,BE,32-2,32,2,0.9411764705882352,28.5,120.8,4,92.3,12,64.5,185,0.044,73,6.5,23,105.1,58,98.6,21,,163,Lafayette,16,52,62,Pat,20-12,20,12,0.625,-2.7,110.4,39,113.1,338,65.0,162,0.078,26,-3.2,55,101.3,220,104.5,273,,129,Villanova,True,2015,1
Villanova,1,68,4,BE,32-2,32,2,0.9411764705882352,28.5,120.8,4,92.3,12,64.5,185,0.044,73,6.5,23,105.1,58,98.6,21,,163,NC State,8,71,37,ACC,20-13,20,13,0.6060606060606061,13.1,111.4,32,98.3,90,64.4,190,-0.02,227,7.0,15,106.3,21,99.3,35,,199,North Carolina State,False,2015,2
NC State,8,66,37,ACC,20-13,20,13,0.6060606060606061,13.1,111.4,32,98.3,90,64.4,190,-0.02,227,7.0,15,106.3,21,99.3,35,,199,LSU,9,65,41,SEC,22-10,22,10,0.6875,12.6,107.0,74,94.4,32,69.8,13,-0.027,249,4.4,34,104.0,89,99.6,46,,294,North Carolina State,True,2015,1
NC State,8,65,37,ACC,20-13,20,13,0.6060606060606061,13.1,111.4,32,98.3,90,64.4,190,-0.02,227,7.0,15,106.3,21,99.3,35,,199,Louisville,4,75,22,ACC,24-8,24,8,0.75,16.3,105.7,98,89.4,6,65.5,138,0.027,115,6.9,18,106.2,29,99.3,38,,234,Louisville,False,2015,3
Northern Iowa,5,71,11,MVC,30-3,30,3,0.9090909090909092,20.8,114.0,14,93.2,17,58.5,348,0.01,158,0.6,46,102.1,171,101.5,120,,153,Wyoming,12,54,53,MWC,25-9,25,9,0.7352941176470589,4.5,101.7,177,97.2,69,59.3,344,0.084,21,-1.9,51,100.7,263,102.6,165,,343,Northern Iowa,True,2015,1
Northern Iowa,5,53,11,MVC,30-3,30,3,0.9090909090909092,20.8,114.0,14,93.2,17,58.5,348,0.01,158,0.6,46,102.1,171,101.5,120,,153,Louisville,4,66,22,ACC,24-8,24,8,0.75,16.3,105.7,98,89.4,6,65.5,138,0.027,115,6.9,18,106.2,29,99.3,38,,234,Louisville,False,2015,2
Louisville,4,57,22,ACC,24-8,24,8,0.75,16.3,105.7,98,89.4,6,65.5,138,0.027,115,6.9,18,106.2,29,99.3,38,,234,California-Irvine,13,55,52,BW,21-12,21,12,0.6363636363636364,5.3,103.7,135,98.4,91,63.7,232,-0.007,201,0.6,45,102.5,143,101.9,137,,77,Louisville,True,2015,1
Louisville,4,70,22,ACC,24-8,24,8,0.75,16.3,105.7,98,89.4,6,65.5,138,0.027,115,6.9,18,106.2,29,99.3,38,,234,Michigan State,7,76,17,B10,23-11,23,11,0.6764705882352942,17.7,113.9,15,96.2,57,63.7,235,-0.053,300,7.0,17,107.0,9,100.0,65,,178,Michigan State,False,2015,4
Providence,6,53,29,BE,22-11,22,11,0.6666666666666666,15.2,110.7,38,95.5,47,65.7,126,0.043,74,8.9,6,107.2,7,98.3,13,,83,Dayton,11,66,42,A10,26-8,26,8,0.7647058823529411,12.3,106.9,76,94.6,35,63.7,239,0.032,100,2.5,39,103.0,115,100.5,84,,165,Dayton,False,2015,1
Oklahoma,3,69,12,B12,22-10,22,10,0.6875,20.4,109.3,51,88.9,5,67.7,44,-0.046,288,9.6,3,107.9,3,98.3,14,,115,Albany,14,60,57,AE,24-8,24,8,0.75,2.5,104.0,122,101.5,151,61.3,322,0.06,48,-5.4,63,98.6,332,104.0,252,,148,Oklahoma,True,2015,1
Oklahoma,3,58,12,B12,22-10,22,10,0.6875,20.4,109.3,51,88.9,5,67.7,44,-0.046,288,9.6,3,107.9,3,98.3,14,,115,Michigan State,7,62,17,B10,23-11,23,11,0.6764705882352942,17.7,113.9,15,96.2,57,63.7,235,-0.053,300,7.0,17,107.0,9,100.0,65,,178,Michigan State,False,2015,3
