Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__ConfRec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__ConfWins__1,BT__ConfLosses__1,BT__ConfWinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__ConfRec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__ConfWins__2,BT__ConfLosses__2,BT__ConfWinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2
Alabama,1,96,Texas A&M–Corpus Christi,16,75,Alabama,True,2023,1,3,SEC,29-5,29,5,0.8529411764705882,27.54,116.1,19,88.6,3,72.7,4,0.074,37,11.66,9,110.9,7,99.2,12,10.56,5,170,Slnd,23-10,23,10,0.696969696969697,-0.23,107.4,137,107.6,229,69.3,80,0.019,136,-9.07,352,101.2,330,110.2,358,1.44,124,2,SEC,34,29-5,16-2,29,5,0.8529,16,2,0.8889,115.4,16,88.3,4,0.9559,2,52.7,63,41.5,1,19.0,241,15.9,305,33.8,27,27.5,137,36.7,49,32.8,223,54.6,28,41.2,1,33.8,181,28.1,3,47.8,6,30.6,17,73.5,4,10.2,1,191,Slnd,30,20-10,14-4,20,10,0.6667,14,4,0.7778,104.3,155,106.0,237,0.454,191,50.9,162,52.4,276,18.0,159,20.7,53,32.7,54,27.5,137,35.3,69,38.5,318,48.9,243,54.3,330,36.5,49,33.2,122,34.8,261,41.2,302,69.8,86,-6.0,138
Maryland,8,67,West Virginia,9,65,Maryland,True,2023,1,22,B10,21-12,21,12,0.6363636363636364,18.37,114.1,35,95.8,33,64.6,312,-0.039,278,8.01,50,109.3,47,101.3,56,-3.92,285,17,B12,19-14,19,14,0.5757575757575758,19.14,117.1,15,98.0,52,68.9,104,-0.054,299,12.74,5,111.0,6,98.2,4,2.26,97,30,B10,33,21-12,11-9,21,12,0.6364,11,9,0.55,111.5,41,95.0,38,0.8639,30,51.1,151,47.9,63,16.2,49,18.4,149,30.2,127,27.2,118,33.8,98,27.8,86,52.0,93,47.7,66,33.0,220,32.1,70,37.5,177,31.7,27,65.4,308,1.0,43,18,B12,33,19-14,7-11,19,14,0.5758,7,11,0.3889,116.1,13,96.4,54,0.8947,18,51.7,108,50.7,184,18.5,211,20.9,47,33.7,32,29.3,223,39.7,19,38.4,317,51.3,126,50.5,189,34.8,135,34.1,183,36.3,216,35.0,101,69.4,109,1.5,36
San Diego State,5,63,College of Charleston,12,57,San Diego State,True,2023,1,14,MWC,27-6,27,6,0.8181818181818182,20.25,111.9,64,91.7,10,66.0,252,0.047,73,8.96,34,110.4,15,101.4,58,7.47,16,73,CAA,31-3,31,3,0.9117647058823528,11.76,111.4,70,99.6,75,71.0,29,0.052,64,-5.71,305,102.3,293,108.0,298,-1.96,232,12,MWC,32,26-6,15-3,26,6,0.8125,15,3,0.8333,111.3,45,90.1,8,0.9186,12,50.1,205,47.5,46,17.6,134,19.6,90,31.7,78,25.8,64,34.3,89,29.4,128,49.4,218,49.9,166,34.4,158,29.2,7,34.9,259,40.1,281,66.8,239,5.7,10,72,CAA,33,30-3,16-2,30,3,0.9091,16,2,0.8889,109.2,68,97.7,72,0.7821,72,51.5,123,47.9,63,16.7,69,19.3,101,35.1,17,25.5,56,32.7,131,24.7,22,52.9,66,49.1,130,33.3,206,30.3,19,47.4,9,32.0,31,71.8,23,1.7,32
Virginia,4,67,Furman,13,68,Furman,False,2023,1,34,ACC,25-7,25,7,0.78125,16.41,111.2,74,94.8,25,61.6,360,0.045,78,5.59,78,108.5,69,102.9,81,1.84,111,89,SC,27-7,27,7,0.7941176470588235,8.43,114.2,33,105.8,183,68.5,124,0.0,195,-4.4,271,104.0,228,108.4,315,-2.07,233,27,ACC,32,25-7,15-5,25,7,0.7812,15,5,0.75,110.4,55,93.5,27,0.8717,27,51.3,136,48.3,79,13.7,6,19.7,83,25.5,269,25.0,39,34.5,81,26.1,43,50.4,178,46.5,34,35.3,104,34.0,173,36.1,225,39.7,266,62.1,360,4.1,18,94,SC,31,24-7,15-3,24,7,0.7742,15,3,0.8333,111.9,36,104.1,194,0.698,94,55.6,9,50.6,179,15.8,37,18.4,149,29.6,150,27.1,115,34.7,77,31.8,202,59.1,1,51.2,227,34.4,158,33.1,113,46.4,13,35.2,113,69.1,125,-2.0,77
Creighton,6,72,North Carolina State,11,63,Creighton,True,2023,1,13,BE,21-12,21,12,0.6363636363636364,20.65,114.6,28,94.0,15,68.0,149,-0.074,329,10.34,16,110.9,8,100.5,36,6.44,27,55,ACC,23-10,23,10,0.696969696969697,13.31,113.9,37,100.6,85,69.1,89,0.03,102,4.81,84,108.6,67,103.8,102,-4.91,307,14,BE,33,21-12,14-6,21,12,0.6364,14,6,0.7,113.8,22,92.8,18,0.913,14,54.3,26,47.3,40,16.6,67,14.3,355,25.5,269,23.3,12,28.1,289,19.8,2,54.5,30,45.6,19,36.0,75,34.1,183,42.0,61,29.8,9,68.6,151,2.2,29,41,ACC,33,23-10,12-8,23,10,0.697,12,8,0.6,113.0,27,97.8,74,0.8403,41,51.8,104,49.8,133,13.6,4,19.1,115,30.7,105,26.6,90,25.3,340,34.0,250,51.5,112,50.6,197,34.9,128,32.2,76,37.6,174,33.5,52,70.1,70,1.1,41
Baylor,3,74,UC Santa Barbara,14,56,Baylor,True,2023,1,15,B12,22-10,22,10,0.6875,19.98,121.9,2,101.9,104,66.6,217,0.032,96,12.93,3,110.8,9,97.9,3,1.92,110,102,BW,27-7,27,7,0.7941176470588235,6.64,111.3,71,104.7,163,65.0,302,0.057,55,-2.38,217,102.8,280,105.2,160,-2.69,256,15,B12,32,22-10,11-7,22,10,0.6875,11,7,0.6111,120.9,2,99.5,95,0.9046,15,53.1,50,51.4,228,18.1,166,19.9,76,34.7,18,31.1,300,37.2,39,31.4,187,50.8,155,53.3,314,37.2,30,32.2,76,45.3,22,37.8,199,67.7,187,5.2,12,121,BW,32,25-7,15-5,25,7,0.7812,15,5,0.75,108.7,78,104.0,193,0.6226,121,54.2,27,49.8,133,16.8,77,18.7,128,26.6,235,26.1,70,34.9,73,29.2,121,54.8,22,48.9,114,35.1,111,34.5,218,29.1,340,31.1,23,65.4,308,-1.5,70
Missouri,7,76,Utah State,10,65,Missouri,True,2023,1,51,SEC,24-9,24,9,0.7272727272727273,13.92,119.3,10,105.4,178,69.1,92,0.11,9,7.73,54,108.1,80,100.4,33,-4.68,302,18,MWC,26-8,26,8,0.7647058823529411,18.88,117.8,13,98.9,64,68.8,108,0.008,166,7.68,56,108.8,57,101.1,55,3.52,78,59,SEC,33,24-9,11-7,24,9,0.7273,11,7,0.6111,117.5,10,103.8,187,0.8078,59,55.1,16,52.3,274,16.0,41,24.3,5,26.8,234,37.3,362,29.5,237,35.2,275,55.9,13,51.7,248,36.1,70,35.4,264,43.3,46,44.1,347,70.0,74,3.5,21,28,MWC,33,25-8,13-5,25,8,0.7576,13,5,0.7222,115.5,14,98.0,77,0.8686,28,55.6,9,47.8,56,17.4,115,15.8,313,27.4,216,24.8,35,35.5,63,30.2,153,54.1,35,45.9,29,38.5,9,34.3,204,42.1,60,33.8,64,69.5,99,2.9,24
Arizona,2,55,Princeton,15,59,Princeton,False,2023,1,10,P12,28-6,28,6,0.8235294117647058,22.86,120.0,4,97.1,41,72.3,9,0.041,85,8.83,36,107.9,87,99.1,9,3.47,79,112,Ivy,21-8,21,8,0.7241379310344828,5.57,109.1,103,103.5,137,67.5,171,0.024,123,-2.55,222,103.4,254,105.9,192,-4.83,306,7,P12,34,28-6,14-6,28,6,0.8235,14,6,0.7,119.7,3,95.4,42,0.9309,7,56.8,3,47.2,36,18.4,204,16.9,246,31.1,94,26.2,76,36.5,51,26.0,41,56.6,8,45.9,29,38.2,13,32.8,97,38.0,157,38.7,231,73.2,7,7.6,7,106,Ivy,27,19-8,10-4,19,8,0.7037,10,4,0.7143,107.6,97,101.6,142,0.6597,106,52.5,72,48.0,70,16.9,81,14.5,348,28.4,187,22.8,9,32.2,145,29.3,124,53.5,51,47.2,53,34.0,175,33.1,113,40.7,87,32.6,40,68.1,168,-3.2,96
Purdue,1,58,Fairleigh Dickinson,16,63,Fairleigh Dickinson,False,2023,1,7,B10,29-5,29,5,0.8529411764705882,24.55,119.4,7,94.8,26,64.4,322,0.032,97,9.84,21,110.4,16,100.6,37,0.95,140,312,NEC,19-15,19,15,0.5588235294117647,-12.25,106.2,155,118.4,361,68.8,110,0.017,143,-14.0,362,96.3,363,110.3,360,-7.11,338,6,B10,34,29-5,15-5,29,5,0.8529,15,5,0.75,118.5,8,92.6,17,0.9446,6,52.2,85,47.2,36,17.0,88,15.4,330,38.3,3,23.3,12,37.2,39,19.3,1,54.1,35,47.4,58,32.6,254,31.4,44,38.1,153,35.4,120,64.8,327,9.4,3,299,NEC,33,18-15,10-6,18,15,0.5455,10,6,0.625,105.0,140,116.4,360,0.2333,299,51.7,108,55.4,352,16.4,60,21.4,32,31.1,94,28.8,196,28.8,267,34.2,255,51.5,112,56.1,352,34.7,141,36.2,291,37.5,177,39.7,266,69.4,109,-12.2,259
Memphis,8,65,Florida Atlantic,9,66,Florida Atlantic,False,2023,1,19,Amer,26-8,26,8,0.7647058823529411,18.69,114.7,26,96.0,35,71.8,17,-0.037,271,7.22,63,108.5,68,101.3,57,6.59,24,26,CUSA,31-3,31,3,0.9117647058823528,18.23,114.3,32,96.0,36,68.4,126,0.053,61,0.41,136,105.6,137,105.1,159,-2.52,248,16,Amer,34,26-8,13-5,26,8,0.7647,13,5,0.7222,113.9,21,94.2,32,0.8995,16,53.2,48,46.8,27,18.4,204,20.9,47,31.0,98,32.3,323,35.9,58,34.9,267,53.1,64,47.2,53,35.6,92,30.8,27,28.8,343,42.9,332,72.2,20,4.7,15,25,CUSA,32,29-3,18-2,29,3,0.9062,18,2,0.9,112.2,33,94.8,36,0.8739,25,55.0,18,45.9,15,16.7,69,18.3,159,30.4,119,24.5,29,29.5,237,26.7,53,54.3,31,44.8,12,37.2,30,32.0,67,43.8,37,34.2,77,68.9,133,4.7,14
