Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2,BTHOT__Rk__1,BTHOT__Conf__1,BTHOT__G__1,BTHOT__Rec__1,BTHOT__Wins__1,BTHOT__Losses__1,BTHOT__WinPct__1,BTHOT__AdjO__1,BTHOT__Rk_AdjO__1,BTHOT__AdjD__1,BTHOT__Rk_AdjD__1,BTHOT__Barthag__1,BTHOT__Rk_Barthag__1,BTHOT__EFG%__1,BTHOT__Rk_EFG%__1,BTHOT__EFGD%__1,BTHOT__Rk_EFGD%__1,BTHOT__TOR__1,BTHOT__Rk_TOR__1,BTHOT__TORD__1,BTHOT__Rk_TORD__1,BTHOT__ORB__1,BTHOT__Rk_ORB__1,BTHOT__DRB__1,BTHOT__Rk_DRB__1,BTHOT__FTR__1,BTHOT__Rk_FTR__1,BTHOT__FTRD__1,BTHOT__Rk_FTRD__1,BTHOT__2P%__1,BTHOT__Rk_2P%__1,BTHOT__2P%D__1,BTHOT__Rk_2P%D__1,BTHOT__3P%__1,BTHOT__Rk_3P%__1,BTHOT__3P%D__1,BTHOT__Rk_3P%D__1,BTHOT__3PR__1,BTHOT__Rk_3PR__1,BTHOT__3PRD__1,BTHOT__Rk_3PRD__1,BTHOT__AdjT__1,BTHOT__Rk_AdjT__1,BTHOT__WAB__1,BTHOT__Rk_WAB__1,BTHOT__Rk__2,BTHOT__Conf__2,BTHOT__G__2,BTHOT__Rec__2,BTHOT__Wins__2,BTHOT__Losses__2,BTHOT__WinPct__2,BTHOT__AdjO__2,BTHOT__Rk_AdjO__2,BTHOT__AdjD__2,BTHOT__Rk_AdjD__2,BTHOT__Barthag__2,BTHOT__Rk_Barthag__2,BTHOT__EFG%__2,BTHOT__Rk_EFG%__2,BTHOT__EFGD%__2,BTHOT__Rk_EFGD%__2,BTHOT__TOR__2,BTHOT__Rk_TOR__2,BTHOT__TORD__2,BTHOT__Rk_TORD__2,BTHOT__ORB__2,BTHOT__Rk_ORB__2,BTHOT__DRB__2,BTHOT__Rk_DRB__2,BTHOT__FTR__2,BTHOT__Rk_FTR__2,BTHOT__FTRD__2,BTHOT__Rk_FTRD__2,BTHOT__2P%__2,BTHOT__Rk_2P%__2,BTHOT__2P%D__2,BTHOT__Rk_2P%D__2,BTHOT__3P%__2,BTHOT__Rk_3P%__2,BTHOT__3P%D__2,BTHOT__Rk_3P%D__2,BTHOT__3PR__2,BTHOT__Rk_3PR__2,BTHOT__3PRD__2,BTHOT__Rk_3PRD__2,BTHOT__AdjT__2,BTHOT__Rk_AdjT__2,BTHOT__WAB__2,BTHOT__Rk_WAB__2
Auburn,1,83,Alabama State,16,63,Auburn,True,2025,1,4,SEC,28-5,28,5,0.8484848484848485,35.05,128.4,2,93.4,12,67.6,153,0.03,100,18.97,2,117.1,2,98.1,2,10.08,19,273,SWAC,19-15,19,15,0.5588235294117647,-9.24,101.4,270,110.6,256,67.7,142,0.049,69,-8.7,355,100.7,359,109.4,290,6.15,45,3,SEC,33,28-5,28,5,0.8485,129.5,1,93.3,10,0.9776,3,55.7,26,46.0,10,13.4,6,17.4,155,34.3,51,30.3,212,33.5,166,39.2,315,56.1,30,47.2,42,36.8,39,29.2,5,40.6,139,34.8,50,68.6,138,12.7,1,278,SWAC,34,19-15,19,15,0.5588,101.4,264,110.6,261,0.2675,278,47.1,325,50.6,162,13.1,4,18.7,86,28.3,228,30.7,226,29.1,294,38.5,306,45.6,338,50.5,158,32.8,223,33.8,175,42.8,85,39.6,205,68.3,155,-10.1,202,3,SEC,33,28-5,28,5,-0.5152,-12.7,59.0,-1.1,15.0,-0.0392,17.0,-4.3,101.0,3.7,140.0,1.1,90.0,0.0,-24.0,-7.6,171.0,-2.5,-86.0,-3.3,34.0,1.5,-61.0,-2.9,70.0,10.1,257.0,-4.4,135.0,-4.2,26.0,-2.6,40.0,3.5,93.0,-4.0,117.0,-12.56,58.0,278,SWAC,34,19-15,19,15,0.4412,-1.9,-23.0,-7.3,-119.0,0.1242,-83.0,-1.4,-79.0,-2.8,-48.0,0.4,59.0,1.1,-22.0,1.8,-67.0,-6.1,-153.0,-7.6,9.0,-5.5,-137.0,-4.1,-38.0,-3.2,-63.0,1.6,-83.0,-1.3,-30.0,-1.6,38.0,-2.8,-81.0,-1.5,20.0,10.5,-164.0
Louisville,8,75,Creighton,9,89,Creighton,False,2025,1,23,ACC,27-7,27,7,0.7941176470588235,22.64,118.1,29,95.5,21,68.7,90,0.058,54,10.34,54,112.6,46,102.3,59,7.05,39,37,BE,24-10,24,10,0.7058823529411765,18.7,116.9,34,98.2,42,67.0,192,0.049,70,11.49,47,112.2,50,100.7,33,5.57,46,23,ACC,34,27-7,27,7,0.7941,117.8,26,95.3,19,0.9195,23,53.4,71,49.2,94,16.5,133,18.6,91,32.2,107,27.2,55,34.5,133,26.8,36,57.0,19,48.3,74,33.0,212,33.7,168,48.1,18,39.7,207,69.6,87,5.5,14,36,BE,34,24-10,24,10,0.7059,116.6,36,98.3,44,0.8773,36,55.8,24,47.0,25,18.1,242,11.7,361,26.9,266,27.2,55,28.5,312,16.9,1,60.5,2,45.8,10,33.9,175,32.7,109,49.0,10,35.2,59,67.9,181,3.0,31,23,ACC,34,27-7,27,7,0.0059,-1.8,41.0,-3.2,5.0,0.0151,-2.0,-1.1,33.0,-4.8,-52.0,1.7,96.0,-3.4,105.0,0.1,9.0,4.2,150.0,-2.7,44.0,2.3,87.0,-1.7,46.0,-7.7,-53.0,-1.1,-28.0,-0.6,-18.0,-7.5,121.0,2.4,15.0,-1.3,24.0,-4.3,-2.0,36,BE,34,24-10,24,10,0.0441,6.7,-10.0,5.4,106.0,0.0018,9.0,-0.7,28.0,6.0,200.0,-2.5,-102.0,-0.2,-58.0,6.2,-162.0,1.7,101.0,-5.4,-27.0,-5.2,5.0,-1.1,18.0,2.8,110.0,-0.6,-22.0,8.7,176.0,-2.8,42.0,-2.2,14.0,-4.7,124.0,-2.3,-5.0
Michigan,5,68,UC San Diego,12,65,Michigan,True,2025,1,25,B10,25-9,25,9,0.7352941176470589,22.28,116.0,47,93.7,14,69.4,65,0.07,42,14.84,13,114.4,18,99.6,11,3.72,75,36,BW,30-4,30,4,0.8823529411764706,18.77,115.2,57,96.5,30,65.6,271,0.01,151,-1.63,180,105.8,212,107.4,176,-1.96,231,22,B10,34,25-9,25,9,0.7353,116.5,37,94.2,14,0.9197,22,54.5,50,46.3,16,19.8,328,16.0,258,33.2,79,29.8,181,35.0,118,28.5,66,57.7,12,45.9,13,33.4,195,31.3,46,42.5,91,38.9,181,70.3,60,6.8,9,54,BW,32,28-4,28,4,0.875,112.3,76,97.8,39,0.8307,54,55.4,30,47.7,43,13.4,6,23.3,2,25.6,307,28.4,102,33.8,152,29.8,93,56.1,30,46.2,19,36.5,54,33.1,126,49.6,8,44.3,328,66.5,261,0.9,47,22,B10,34,25-9,25,9,-0.1353,-4.0,52.0,-3.8,1.0,0.0058,1.0,-6.4,151.0,-4.0,5.0,-1.4,-92.0,-4.5,45.0,-3.0,79.0,-1.9,-50.0,-6.7,103.0,5.4,114.0,-5.4,110.0,-5.2,10.0,-5.3,50.0,-1.5,49.0,-1.8,43.0,3.0,37.0,-1.1,16.0,-5.1,-3.0,54,BW,32,28-4,28,4,0.125,-0.4,19.0,-1.4,11.0,0.0161,5.0,-2.8,67.0,-7.9,-37.0,0.1,57.0,-1.5,30.0,-0.6,-62.0,6.7,177.0,3.0,-39.0,0.5,46.0,-2.6,64.0,-7.8,-12.0,-2.0,82.0,-5.6,-65.0,3.7,1.0,5.0,-20.0,-2.5,17.0,-0.3,-18.0
Texas A&M,4,80,Yale,13,71,Texas A&M,True,2025,1,17,SEC,22-10,22,10,0.6875,24.08,116.2,44,92.1,7,66.1,237,0.001,176,16.14,5,115.5,5,99.3,10,7.04,40,73,Ivy,22-7,22,7,0.7586206896551724,11.05,115.1,59,104.0,117,67.2,184,-0.041,285,-2.56,214,106.4,176,109.0,258,-0.85,200,24,SEC,32,22-10,22,10,0.6875,115.4,50,93.6,12,0.9178,24,47.5,315,48.2,58,18.2,250,19.7,54,42.0,1,27.8,74,41.7,17,35.3,239,48.0,290,46.5,25,31.1,316,33.4,152,37.6,203,47.0,352,66.9,235,5.5,15,78,Ivy,28,21-7,21,7,0.75,114.1,61,103.8,122,0.7468,78,54.8,40,48.8,79,14.4,19,16.1,250,33.2,79,25.8,22,32.0,203,28.7,71,53.4,90,47.3,45,38.5,9,33.7,168,32.0,336,48.0,359,68.0,178,-2.6,73,24,SEC,32,22-10,22,10,-0.1875,-4.1,51.0,-1.6,11.0,-0.0178,10.0,-3.1,-46.0,-3.9,-17.0,-1.2,-66.0,-7.5,235.0,-2.0,21.0,-7.0,-44.0,10.7,-6.0,6.5,33.0,-8.3,24.0,-6.0,-5.0,3.7,-185.0,-0.1,-1.0,-0.5,-2.0,-7.7,-186.0,-2.2,17.0,-5.55,60.0,78,Ivy,28,21-7,21,7,0.25,-0.8,22.0,-1.1,6.0,0.0075,7.0,-1.1,41.0,2.4,102.0,-3.5,-5.0,1.6,-127.0,-7.9,164.0,0.8,83.0,5.2,-91.0,-7.9,-44.0,-5.3,111.0,6.6,188.0,4.4,18.0,-1.1,-19.0,2.1,-87.0,6.8,-29.0,-4.5,121.0,3.09,-39.0
Ole Miss,6,71,North Carolina,11,64,Ole Miss,True,2025,1,26,SEC,22-11,22,11,0.6666666666666666,22.09,117.8,31,95.8,25,68.0,130,0.018,130,15.8,8,115.1,8,99.3,8,-0.63,197,33,ACC,22-13,22,13,0.6285714285714286,19.55,118.9,22,99.3,53,70.4,34,-0.019,234,12.18,41,113.3,37,101.2,48,13.34,7,29,SEC,33,22-11,22,11,0.6667,117.0,33,96.5,29,0.9014,29,51.1,153,50.5,156,12.8,2,20.5,32,25.4,311,30.8,231,35.6,103,39.5,322,51.0,178,51.6,209,34.1,159,32.7,109,40.2,146,44.0,321,68.8,126,4.9,20,35,ACC,36,23-13,23,13,0.6389,119.0,21,99.9,64,0.8823,35,54.5,50,49.5,109,15.1,39,15.2,306,29.3,201,27.0,49,35.0,118,30.2,107,54.7,50,49.2,109,36.0,64,33.3,141,37.1,223,38.2,154,71.3,32,1.4,43,29,SEC,33,22-11,22,11,-0.1667,3.4,10.0,1.2,31.0,0.0158,-3.0,-5.3,91.0,5.1,108.0,0.0,49.0,-1.5,54.0,3.3,-123.0,3.0,28.0,-5.3,95.0,-1.6,-94.0,-2.8,21.0,7.3,102.0,-6.5,93.0,2.1,87.0,-5.5,95.0,6.0,-8.0,-0.7,-4.0,-3.9,-1.0,35,ACC,36,23-13,23,13,-0.0389,2.5,16.0,-9.1,-48.0,0.0841,-25.0,-2.3,58.0,-2.6,-23.0,-0.8,50.0,0.6,-127.0,-2.3,17.0,-1.9,33.0,-1.2,32.0,2.3,56.0,-7.6,174.0,1.3,52.0,3.8,-6.0,-6.0,-82.0,3.6,-89.0,-0.5,-18.0,-1.5,28.0,-1.04,1.0
Iowa State,3,82,Lipscomb,14,55,Iowa State,True,2025,1,10,B12,24-9,24,9,0.7272727272727273,26.99,119.4,20,92.4,9,68.6,102,-0.048,298,12.62,36,113.3,38,100.7,38,-0.9,205,83,ASun,25-9,25,9,0.7352941176470589,9.49,112.7,75,103.2,100,65.9,257,-0.028,263,-4.57,282,105.6,220,110.2,334,3.93,69,8,B12,33,24-9,24,9,0.7273,119.2,20,92.6,9,0.948,8,54.6,43,48.4,64,16.9,160,21.8,14,32.2,107,28.4,102,38.5,40,28.9,75,55.1,44,47.5,51,35.8,70,33.2,130,36.9,230,40.7,245,69.3,105,5.4,17,98,ASun,32,23-9,23,9,0.7188,110.0,106,103.1,105,0.677,98,55.9,23,48.6,72,14.4,19,15.9,270,24.0,330,26.5,37,31.4,223,22.3,8,56.7,20,49.9,134,36.7,43,31.0,36,47.4,25,37.2,119,66.9,235,-4.1,93,8,B12,33,24-9,24,9,-0.0606,10.8,-13.0,0.8,24.0,0.0302,-5.0,6.8,-36.0,1.0,79.0,1.3,69.0,-3.1,81.0,-3.1,75.0,-0.1,43.0,-15.7,251.0,3.1,83.0,4.9,-25.0,1.3,80.0,6.5,-38.0,0.1,21.0,4.6,-112.0,10.8,75.0,-1.0,6.0,-4.6,6.0,98,ASun,32,23-9,23,9,0.2812,0.9,1.0,4.0,86.0,-0.078,39.0,-0.6,27.0,-6.9,-58.0,2.1,145.0,-4.7,44.0,-0.4,-60.0,11.1,267.0,31.4,-219.0,3.6,74.0,-7.8,160.0,-9.1,-109.0,4.1,3.0,-1.7,48.0,4.7,-14.0,-7.7,-81.0,-4.1,77.0,4.28,-36.0
Marquette,7,66,New Mexico,10,75,New Mexico,False,2025,1,28,BE,23-10,23,10,0.696969696969697,21.58,117.7,32,96.1,28,67.6,156,-0.013,214,12.5,38,113.0,41,100.5,30,8.69,26,41,MWC,26-7,26,7,0.7878787878787878,17.32,112.5,79,95.2,19,72.7,4,-0.0,181,6.29,80,109.1,92,102.8,69,5.12,49,27,BE,33,23-10,23,10,0.697,116.7,35,96.1,25,0.9031,27,52.0,113,49.9,125,13.5,8,21.5,19,30.1,174,31.0,241,26.1,341,30.2,107,54.9,48,51.3,195,32.5,238,31.8,64,46.3,40,39.8,214,68.5,145,3.6,28,40,MWC,32,25-7,25,7,0.7812,112.0,81,95.6,20,0.8617,40,50.8,173,49.2,94,15.6,66,20.5,32,31.5,127,25.6,20,37.8,46,35.0,232,50.6,197,48.2,69,34.1,159,33.8,175,32.2,333,38.3,157,73.8,4,2.7,33,27,BE,33,23-10,23,10,-0.447,2.9,12.0,6.2,101.0,-0.0465,28.0,-1.6,28.0,-0.1,27.0,0.4,66.0,-7.3,218.0,-5.8,86.0,3.6,31.0,1.2,-105.0,-0.2,28.0,0.8,9.0,-1.6,-50.0,-3.3,-4.0,1.5,87.0,-1.6,35.0,-7.9,-150.0,0.6,-67.0,-4.09,85.0,40,MWC,32,25-7,25,7,-0.1145,-3.2,48.0,-2.7,10.0,-0.0023,12.0,-3.8,50.0,-1.9,5.0,-3.8,-37.0,2.2,-10.0,2.1,-36.0,2.4,114.0,-2.7,83.0,-6.3,-114.0,-3.8,38.0,3.4,116.0,-2.3,29.0,-6.3,-114.0,-8.4,-3.0,3.8,65.0,-4.9,85.0,-2.89,51.0
Michigan State,2,87,Bryant,15,62,Michigan State,True,2025,1,8,B10,27-6,27,6,0.8181818181818182,27.57,118.1,27,90.6,5,67.7,144,-0.009,206,13.34,27,114.2,24,100.8,39,0.33,160,149,AE,23-11,23,11,0.6764705882352942,1.18,106.7,178,105.5,148,72.4,7,-0.003,188,-6.99,317,102.9,312,109.9,326,0.46,152,12,B10,33,27-6,27,6,0.8182,117.2,31,92.2,7,0.9402,12,51.2,148,46.1,12,16.6,138,16.4,226,35.3,30,24.6,8,37.8,46,33.1,182,53.6,85,49.1,107,30.8,326,27.9,2,32.7,329,41.4,273,68.6,138,8.5,7,155,AE,32,21-11,21,11,0.6562,106.0,182,105.5,155,0.5121,155,51.0,163,47.7,43,16.5,133,16.4,226,34.2,54,28.8,126,30.4,260,30.0,100,51.5,154,47.3,45,33.4,195,32.2,83,34.8,283,36.0,87,73.1,7,-7.0,142,12,B10,33,27-6,27,6,-0.0682,5.0,0.0,-1.2,12.0,0.0274,-5.0,1.4,-51.0,3.2,130.0,-1.7,-27.0,0.3,-74.0,-6.1,150.0,-2.9,32.0,8.7,-12.0,7.0,70.0,-3.3,68.0,7.6,179.0,6.8,-235.0,-1.6,38.0,4.3,-125.0,1.4,-35.0,0.4,-57.0,-7.1,2.0,155,AE,32,21-11,21,11,0.3438,0.9,-23.0,-5.6,-69.0,0.1747,-47.0,3.1,-91.0,-0.7,50.0,2.8,135.0,-1.2,-30.0,4.8,-25.0,-7.0,-84.0,-3.5,-17.0,1.7,56.0,4.4,-99.0,-4.6,-11.0,-0.7,-26.0,6.0,170.0,-8.4,39.0,-6.4,-48.0,0.5,5.0,7.11,-81.0
Florida,1,95,Norfolk State,16,69,Florida,True,2025,1,2,SEC,30-4,30,4,0.8823529411764706,36.16,128.6,1,92.4,10,69.6,59,0.007,159,14.42,17,114.5,17,100.0,19,-2.02,234,180,MEAC,24-10,24,10,0.7058823529411765,-1.53,107.1,168,108.7,217,66.3,226,0.056,56,-7.23,324,103.0,307,110.3,337,3.03,89,4,SEC,34,30-4,30,4,0.8824,126.8,4,94.2,13,0.9683,4,55.0,37,45.3,6,15.0,37,17.0,184,38.1,8,28.8,126,32.6,189,33.0,176,56.4,27,45.9,13,35.5,84,29.6,7,43.6,74,37.3,120,70.3,60,11.1,3,186,MEAC,31,21-10,21,10,0.6774,106.6,163,108.8,230,0.4424,186,52.4,98,49.7,118,18.3,255,18.6,91,32.8,90,33.8,335,39.0,34,34.9,228,54.5,57,48.9,96,31.3,298,33.9,186,27.7,360,42.7,299,67.1,225,-5.3,116,4,SEC,34,30-4,30,4,0.1176,13.4,-3.0,0.6,29.0,0.0206,-3.0,3.5,-15.0,3.0,118.0,-0.1,74.0,-5.4,118.0,1.0,19.0,0.3,37.0,7.3,-112.0,8.3,88.0,5.3,-17.0,2.8,113.0,0.9,20.0,2.1,116.0,0.7,6.0,0.9,18.0,1.0,-27.0,-7.4,-2.0,186,MEAC,31,21-10,21,10,0.3226,-9.2,99.0,-6.9,-112.0,-0.069,16.0,-3.3,84.0,-3.5,-53.0,1.3,17.0,1.0,-19.0,1.3,-9.0,-2.0,-120.0,3.9,19.0,-9.9,-167.0,-0.6,32.0,-7.8,-69.0,-9.3,17.0,1.9,29.0,-4.7,-28.0,-2.4,-112.0,-1.0,-23.0,5.54,-62.0
UConn,8,67,Oklahoma,9,59,UConn,True,2025,1,35,BE,23-10,23,10,0.696969696969697,19.34,121.9,14,102.6,94,63.7,344,-0.019,233,10.09,55,112.0,52,102.0,54,-0.17,180,38,SEC,20-13,20,13,0.6060606060606061,18.36,119.0,21,100.7,70,68.5,106,0.005,162,14.64,15,114.5,16,99.9,18,-5.35,319,37,BE,33,23-10,23,10,0.697,121.0,16,102.2,95,0.8748,37,55.5,28,48.3,59,17.1,174,15.5,287,35.6,22,27.4,62,30.6,255,40.0,332,57.3,16,46.0,16,35.4,89,35.1,257,42.6,90,34.2,34,64.6,336,2.3,35,46,SEC,33,20-13,20,13,0.6061,117.5,29,101.3,82,0.8465,46,54.9,38,51.1,189,17.3,187,18.1,111,26.5,273,31.7,275,39.6,29,35.8,254,54.6,52,54.9,322,37.0,33,30.5,18,41.9,108,41.9,284,69.2,108,2.2,37,37,BE,33,23-10,23,10,0.053,1.8,12.0,-2.7,-13.0,0.0438,-12.0,-1.5,47.0,-2.4,-3.0,0.3,27.0,-3.5,8.0,4.7,-4.0,-3.7,1.0,-7.9,38.0,-2.9,-112.0,-3.3,70.0,3.6,126.0,0.6,21.0,-8.8,-217.0,-4.4,83.0,2.9,94.0,-2.7,-9.0,-1.7,-4.0,46,SEC,33,20-13,20,13,0.1439,10.1,-18.0,-1.2,10.0,0.0954,-27.0,1.2,0.0,1.6,30.0,-5.2,-155.0,-2.1,65.0,-5.1,15.0,2.1,-16.0,2.6,30.0,-0.7,-59.0,-0.6,34.0,-0.6,-81.0,2.6,28.0,3.2,149.0,-2.3,44.0,1.1,-42.0,0.1,-34.0,-0.8,-29.0
