Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round,KP__Rk_AdjEM__1,KP__Conf__1,KP__W-L__1,KP__Wins__1,KP__Losses__1,KP__WinPct__1,KP__AdjEM__1,KP__AdjO__1,KP__Rk_AdjO__1,KP__AdjD__1,KP__Rk_AdjD__1,KP__AdjT__1,KP__Rk_AdjT__1,KP__Luck__1,KP__Rk_Luck__1,KP__SOS_AdjEM__1,KP__Rk_SOS_AdjEM__1,KP__SOS_AdjO__1,KP__Rk_SOS_AdjO__1,KP__SOS_AdjD__1,KP__Rk_SOS_AdjD__1,KP__NCSOS_AdjEM__1,KP__Rk_NCSOS_AdjEM__1,KP__Rk_AdjEM__2,KP__Conf__2,KP__W-L__2,KP__Wins__2,KP__Losses__2,KP__WinPct__2,KP__AdjEM__2,KP__AdjO__2,KP__Rk_AdjO__2,KP__AdjD__2,KP__Rk_AdjD__2,KP__AdjT__2,KP__Rk_AdjT__2,KP__Luck__2,KP__Rk_Luck__2,KP__SOS_AdjEM__2,KP__Rk_SOS_AdjEM__2,KP__SOS_AdjO__2,KP__Rk_SOS_AdjO__2,KP__SOS_AdjD__2,KP__Rk_SOS_AdjD__2,KP__NCSOS_AdjEM__2,KP__Rk_NCSOS_AdjEM__2,BT__Rk__1,BT__Conf__1,BT__G__1,BT__Rec__1,BT__ConfRec__1,BT__Wins__1,BT__Losses__1,BT__WinPct__1,BT__ConfWins__1,BT__ConfLosses__1,BT__ConfWinPct__1,BT__AdjO__1,BT__Rk_AdjO__1,BT__AdjD__1,BT__Rk_AdjD__1,BT__Barthag__1,BT__Rk_Barthag__1,BT__EFG%__1,BT__Rk_EFG%__1,BT__EFGD%__1,BT__Rk_EFGD%__1,BT__TOR__1,BT__Rk_TOR__1,BT__TORD__1,BT__Rk_TORD__1,BT__ORB__1,BT__Rk_ORB__1,BT__DRB__1,BT__Rk_DRB__1,BT__FTR__1,BT__Rk_FTR__1,BT__FTRD__1,BT__Rk_FTRD__1,BT__2P%__1,BT__Rk_2P%__1,BT__2P%D__1,BT__Rk_2P%D__1,BT__3P%__1,BT__Rk_3P%__1,BT__3P%D__1,BT__Rk_3P%D__1,BT__3PR__1,BT__Rk_3PR__1,BT__3PRD__1,BT__Rk_3PRD__1,BT__AdjT__1,BT__Rk_AdjT__1,BT__WAB__1,BT__Rk_WAB__1,BT__Rk__2,BT__Conf__2,BT__G__2,BT__Rec__2,BT__ConfRec__2,BT__Wins__2,BT__Losses__2,BT__WinPct__2,BT__ConfWins__2,BT__ConfLosses__2,BT__ConfWinPct__2,BT__AdjO__2,BT__Rk_AdjO__2,BT__AdjD__2,BT__Rk_AdjD__2,BT__Barthag__2,BT__Rk_Barthag__2,BT__EFG%__2,BT__Rk_EFG%__2,BT__EFGD%__2,BT__Rk_EFGD%__2,BT__TOR__2,BT__Rk_TOR__2,BT__TORD__2,BT__Rk_TORD__2,BT__ORB__2,BT__Rk_ORB__2,BT__DRB__2,BT__Rk_DRB__2,BT__FTR__2,BT__Rk_FTR__2,BT__FTRD__2,BT__Rk_FTRD__2,BT__2P%__2,BT__Rk_2P%__2,BT__2P%D__2,BT__Rk_2P%D__2,BT__3P%__2,BT__Rk_3P%__2,BT__3P%D__2,BT__Rk_3P%D__2,BT__3PR__2,BT__Rk_3PR__2,BT__3PRD__2,BT__Rk_3PRD__2,BT__AdjT__2,BT__Rk_AdjT__2,BT__WAB__2,BT__Rk_WAB__2
Kentucky,1,81.0,Western Kentucky,16,66.0,Western Kentucky,False,2012,1,1,SEC,32-2,32,2,0.9411764705882352,33.6,120.8,3,87.2,6,65.7,191,0.025,108,6.8,27,104.7,40,97.9,41,,149,63,SB,16-18,16,18,0.4705882352941176,-3.3,95.9,253,99.2,132,69.0,48,0.084,18,-0.8,50,100.0,223,100.8,148,,117,1,SEC,34,32-2,16-0,32,2,0.9412,16,0,1.0,119.7,3,88.5,9,0.9702,1,53.4,26,41.6,1,17.2,20,18.1,281,38.4,17,31.0,120,40.0,74,25.6,7,52.5,21,38.8,1,37.1,56,32.1,72,27.3,297,30.0,74,66.1,173,11.3,1,204,SB,34,16-18,7-9,16,18,0.4706,7,9,0.4375,95.7,274,99.0,133,0.404,204,44.4,321,47.1,85,22.4,290,21.3,115,34.4,88,32.4,187,40.7,66,38.7,227,43.8,306,46.5,110,30.3,313,32.6,91,33.0,166,26.0,13,68.8,51,-10.2,218
Iowa State,8,77.0,UConn,9,64.0,UConn,False,2012,1,27,B12,22-10,22,10,0.6875,17.8,111.8,30,94.0,47,67.3,112,-0.01,198,7.4,22,105.4,33,98.0,43,,273,35,BE,20-13,20,13,0.6060606060606061,16.0,110.2,41,94.2,51,63.9,276,-0.033,250,9.0,9,105.9,19,96.9,10,,169,34,B12,32,22-10,12-6,22,10,0.6875,12,6,0.6667,111.2,30,95.3,62,0.8553,34,52.9,37,48.3,147,18.5,64,17.6,298,32.2,171,26.3,9,38.7,114,25.7,9,50.0,95,49.9,248,38.0,31,29.8,15,42.2,17,31.7,123,67.2,118,1.9,36,32,BE,33,20-13,8-10,20,13,0.6061,8,10,0.4444,110.3,41,94.3,44,0.8576,32,50.2,125,44.4,18,19.3,119,16.9,319,36.8,25,34.6,268,34.4,216,24.9,5,50.5,73,40.5,3,33.1,227,34.3,166,29.2,257,35.2,249,64.2,264,0.47,49
Wichita State,5,59.0,VCU,12,62.0,VCU,False,2012,1,9,MVC,27-5,27,5,0.84375,26.1,116.5,11,90.4,19,67.0,125,-0.001,178,3.8,37,103.2,78,99.4,99,,82,42,CAA,28-6,28,6,0.8235294117647058,13.9,106.1,90,92.2,26,66.3,150,0.034,87,0.0,47,99.4,257,99.4,98,,103,9,MVC,31,26-5,16-2,26,5,0.8387,16,2,0.8889,115.9,7,92.6,27,0.9297,9,54.2,12,44.7,22,17.9,45,18.7,248,33.5,137,26.3,9,35.2,197,33.4,108,53.5,13,43.5,29,37.0,58,31.4,45,33.1,164,32.4,158,66.8,131,4.4,17,44,CAA,34,28-6,15-3,28,6,0.8235,15,3,0.8333,106.1,85,93.0,31,0.8207,44,47.6,223,47.1,85,17.4,25,27.3,1,33.8,118,34.0,245,37.3,150,37.9,208,45.6,256,46.9,133,33.7,195,31.8,57,38.8,50,30.4,81,66.1,173,2.3,31
Indiana,4,79.0,New Mexico State,13,66.0,New Mexico State,False,2012,1,10,B10,25-8,25,8,0.7575757575757576,25.9,120.3,4,94.4,55,67.5,106,0.001,171,8.8,11,105.8,21,97.0,12,,271,50,WAC,26-9,26,9,0.7428571428571429,12.1,107.6,68,95.5,69,70.8,19,-0.045,270,-1.2,53,101.4,152,102.6,218,,197,11,B10,33,25-8,11-7,25,8,0.7576,11,7,0.6111,119.1,4,96.5,82,0.9184,11,54.7,7,47.7,113,19.1,105,20.3,161,35.5,56,31.2,130,46.6,6,34.2,124,50.8,58,45.5,78,43.3,2,34.9,191,27.7,289,31.7,123,67.8,94,5.7,12,84,WAC,33,24-9,10-4,24,9,0.7273,10,4,0.7143,106.1,86,97.4,98,0.7267,84,50.7,103,47.8,121,20.7,201,20.4,156,40.7,6,29.7,73,52.8,1,33.2,99,51.3,45,47.7,166,32.8,237,32.0,69,24.6,333,31.6,121,71.1,16,-1.9,85
UNLV,6,64.0,Colorado,11,68.0,Colorado,False,2012,1,33,MWC,26-8,26,8,0.7647058823529411,16.3,108.7,59,92.4,29,69.6,30,0.02,121,4.4,36,103.3,74,98.9,77,,155,55,P12,23-11,23,11,0.6764705882352942,9.6,103.1,134,93.5,43,65.5,202,0.075,20,4.4,35,103.3,73,98.9,76,,131,25,MWC,32,24-8,9-5,24,8,0.75,9,5,0.6429,109.3,47,92.3,24,0.8753,25,53.2,29,46.1,44,19.5,130,21.0,128,32.6,159,30.2,85,35.8,185,33.4,108,51.6,40,44.4,47,37.3,53,33.1,114,38.5,55,33.0,177,69.9,29,2.8,28,74,P12,32,21-11,11-7,21,11,0.6562,11,7,0.6111,104.2,120,94.2,42,0.7615,74,49.3,160,47.0,82,19.2,117,18.7,248,29.3,263,28.5,46,43.0,28,32.5,83,48.5,142,45.8,87,34.1,173,32.9,100,31.6,194,34.5,230,65.9,186,-0.28,62
Baylor,3,68.0,South Dakota State,14,60.0,South Dakota State,False,2012,1,12,B12,27-7,27,7,0.7941176470588235,23.2,116.0,15,92.8,32,66.5,145,0.057,44,8.8,12,106.2,14,97.4,23,,279,46,Sum,27-7,27,7,0.7941176470588235,13.1,112.0,28,98.9,126,65.6,194,0.041,77,-2.7,57,100.9,176,103.6,278,,114,17,B12,33,26-7,12-6,26,7,0.7879,12,6,0.6667,114.4,15,93.6,37,0.909,17,52.6,48,47.2,93,20.6,190,21.3,115,37.6,20,32.9,205,36.5,171,31.7,67,50.8,58,45.5,78,37.7,38,33.9,149,31.9,191,33.0,177,66.7,137,7.0,9,72,Sum,32,25-7,15-3,25,7,0.7812,15,3,0.8333,111.7,26,100.7,162,0.767,72,53.8,17,49.9,210,15.6,4,19.2,219,30.5,230,28.2,39,39.9,76,29.5,34,50.7,64,50.5,270,39.3,15,32.4,83,37.1,76,31.5,119,66.3,160,-0.41,65
Notre Dame,7,63.0,Xavier,10,67.0,Xavier,False,2012,1,38,BE,22-11,22,11,0.6666666666666666,15.1,109.5,50,94.4,58,61.3,327,0.046,67,6.9,26,104.6,44,97.7,29,,240,48,A10,21-12,21,12,0.6363636363636364,12.3,107.2,73,94.9,64,67.6,101,0.032,93,7.4,24,105.6,27,98.2,51,,44,57,BE,33,22-11,13-5,22,11,0.6667,13,5,0.7222,108.0,62,96.3,77,0.7898,57,49.2,165,45.5,34,16.0,7,17.3,310,30.7,226,32.1,168,37.9,131,24.7,4,49.1,122,45.1,67,32.9,233,31.0,35,36.8,83,28.1,35,62.2,321,2.2,32,55,A10,33,21-12,10-6,21,12,0.6364,10,6,0.625,106.3,81,94.7,49,0.792,55,49.6,147,45.3,31,18.6,73,18.6,255,31.6,189,30.1,79,40.8,65,36.4,181,48.7,133,44.9,60,34.9,138,30.6,25,25.2,326,35.7,268,67.9,86,0.7,48
Duke,2,70.0,Lehigh,15,75.0,Lehigh,False,2012,1,17,ACC,27-6,27,6,0.8181818181818182,22.3,117.0,8,94.7,62,67.6,100,0.072,24,10.1,4,106.6,8,96.5,7,,14,56,Pat,26-7,26,7,0.7878787878787878,9.3,106.6,84,97.3,99,68.6,58,-0.035,253,-6.2,62,98.0,302,104.2,301,,283,13,ACC,33,27-6,13-3,27,6,0.8182,13,3,0.8125,117.1,6,95.3,61,0.915,13,53.0,35,47.1,85,17.7,38,18.8,240,34.7,79,32.2,174,45.3,13,31.9,69,50.9,53,47.0,137,37.6,45,31.7,51,38.4,59,23.9,2,68.3,71,8.0,7,93,Pat,32,25-7,11-3,25,7,0.7812,11,3,0.7857,106.7,75,98.8,126,0.7085,93,50.9,92,47.1,85,16.8,18,21.4,107,31.4,205,29.2,59,37.4,146,33.3,105,49.7,99,45.7,83,35.5,112,33.3,123,36.1,100,32.2,147,68.7,56,-1.1,74
Michigan State,1,89.0,Long Island,16,67.0,Long Island,False,2012,1,3,B10,27-7,27,7,0.7941176470588235,31.7,116.6,10,84.9,3,65.6,197,-0.037,255,11.2,2,107.4,6,96.2,3,,185,62,NEC,25-8,25,8,0.7575757575757576,-0.2,106.9,80,107.1,271,74.5,2,0.106,7,-6.0,61,97.7,310,103.7,283,,226,4,B10,34,27-7,13-5,27,7,0.7941,13,5,0.7222,112.7,21,86.7,3,0.9532,4,52.7,43,43.0,6,19.8,151,19.7,190,37.2,23,27.5,26,39.0,102,34.2,124,51.9,31,42.6,13,36.5,73,29.2,9,27.8,287,35.6,265,66.1,173,8.6,4,161,NEC,33,25-8,16-2,25,8,0.7576,16,2,0.8889,107.0,72,105.8,271,0.5316,161,53.3,28,49.1,178,21.5,249,18.4,265,34.8,72,34.0,245,49.8,2,22.3,2,52.3,25,49.0,211,36.8,67,32.8,96,31.2,206,28.0,33,74.3,2,-2.4,91
Memphis,8,54.0,Saint Louis,9,61.0,Saint Louis,False,2012,1,11,CUSA,26-8,26,8,0.7647058823529411,25.6,114.2,19,88.6,11,68.3,69,-0.056,300,5.3,31,103.4,69,98.1,48,,23,18,A10,25-7,25,7,0.78125,21.8,110.4,38,88.6,10,62.8,303,-0.051,286,3.3,41,102.8,98,99.5,100,,229,16,CUSA,34,26-8,13-3,26,8,0.7647,13,3,0.8125,112.6,22,92.1,21,0.9095,16,54.4,10,43.3,7,18.7,80,20.5,153,31.4,205,32.9,205,41.6,48,38.3,219,54.0,10,41.8,8,36.9,61,31.0,35,26.9,306,31.1,106,68.4,68,3.0,23,10,A10,31,24-7,12-4,24,7,0.7742,12,4,0.75,111.0,31,89.6,11,0.9219,10,52.1,58,44.9,23,17.8,42,23.4,29,31.9,181,29.4,64,35.1,202,37.4,199,50.2,81,43.8,35,36.9,61,32.1,72,36.3,97,25.6,9,62.4,317,2.8,29
New Mexico,5,75.0,Long Beach State,12,68.0,Long Beach State,False,2012,1,13,MWC,27-6,27,6,0.8181818181818182,22.4,111.0,33,88.6,13,66.7,137,0.012,144,2.0,43,102.0,129,100.0,123,,298,36,BW,25-8,25,8,0.7575757575757576,15.5,108.8,58,93.3,39,67.3,113,-0.038,259,1.0,44,102.4,111,101.4,164,,2,18,MWC,32,26-6,10-4,26,6,0.8125,10,4,0.7143,109.1,49,89.9,13,0.9034,18,52.9,37,44.1,15,20.0,160,21.4,107,34.0,106,27.3,24,39.3,89,32.0,72,50.1,87,42.8,17,38.5,24,30.9,33,36.9,80,36.5,296,66.8,131,2.9,26,50,BW,31,23-8,15-1,23,8,0.7419,15,1,0.9375,108.2,58,95.7,65,0.8033,50,52.6,48,47.4,102,19.0,97,21.7,89,34.2,97,31.6,152,43.4,23,27.3,15,52.0,29,45.7,83,35.8,98,34.2,162,33.6,149,31.8,129,67.2,118,1.0,43
Louisville,4,69.0,Davidson,13,62.0,Davidson,False,2012,1,25,BE,26-9,26,9,0.7428571428571429,19.0,103.7,123,84.7,2,67.7,99,0.021,120,8.8,13,106.1,15,97.3,19,,151,51,SC,25-7,25,7,0.78125,11.7,110.4,37,98.7,123,68.1,80,0.019,123,-2.6,56,100.2,210,102.8,230,,9,20,BE,35,26-9,10-8,26,9,0.7429,10,8,0.5556,103.7,126,85.9,2,0.8975,20,47.6,223,42.9,4,21.4,246,23.2,32,36.2,35,34.3,258,37.0,157,34.8,144,48.1,160,41.3,4,31.1,291,30.8,30,33.2,163,32.0,135,67.5,104,5.5,13,62,SC,31,24-7,16-2,24,7,0.7742,16,2,0.8889,110.9,35,99.0,131,0.7861,62,51.3,80,47.4,102,17.2,20,17.6,298,35.1,61,26.7,16,36.7,165,40.8,261,51.5,42,46.0,92,34.0,175,34.0,153,38.5,55,27.8,30,68.4,68,-0.32,64
Murray State,6,58.0,Colorado State,11,41.0,Colorado State,False,2012,1,43,OVC,30-1,30,1,0.967741935483871,13.5,107.7,67,94.2,52,66.0,171,0.039,80,-4.1,58,100.1,215,104.2,299,,59,54,MWC,20-11,20,11,0.6451612903225806,10.2,111.8,29,101.6,176,64.7,246,0.077,19,5.1,33,103.3,72,98.2,52,,127,45,OVC,28,27-1,15-1,27,1,0.9643,15,1,0.9375,108.1,60,94.8,53,0.8184,45,54.7,7,46.1,44,20.9,215,24.0,16,34.7,79,34.8,277,46.4,9,35.1,152,51.3,45,46.7,119,40.7,4,29.5,12,35.2,111,27.1,19,66.1,173,3.9,21,85,MWC,31,20-11,8-6,20,11,0.6452,8,6,0.5714,111.8,25,102.8,207,0.7245,85,53.5,23,50.5,233,19.1,105,18.5,260,28.4,276,29.5,67,43.0,28,39.2,237,50.4,78,48.7,207,40.5,7,35.7,236,29.2,257,38.4,317,64.7,244,-0.9,71
