Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Gonzaga,1,87,Fairleigh Dickinson,16,49,Gonzaga,True
Syracuse,8,69,Baylor,9,78,Baylor,False
Marquette,5,64,Murray State,12,83,Murray State,False
Florida State,4,76,Vermont,13,69,Florida State,True
Buffalo,6,91,Arizona State,11,74,Buffalo,True
Texas Tech,3,72,Northern Kentucky,14,57,Texas Tech,True
Nevada,7,61,Florida,10,70,Florida,False
Michigan,2,74,Montana,15,55,Michigan,True
Duke,1,85,North Dakota State,16,62,Duke,True
VCU,8,58,UCF,9,73,UCF,False
Mississippi State,5,76,Liberty,12,80,Liberty,False
Virginia Tech,4,66,Saint Louis,13,52,Virginia Tech,True
Maryland,6,79,Belmont,11,77,Maryland,True
LSU,3,79,Yale,14,74,LSU,True
Louisville,7,76,Minnesota,10,86,Minnesota,False
Michigan State,2,76,Bradley,15,65,Michigan State,True
Virginia,1,71,Gardner-Webb,16,56,Virginia,True
Ole Miss,8,72,Oklahoma,9,95,Oklahoma,False
Wisconsin,5,54,Oregon,12,72,Oregon,False
Kansas State,4,64,California-Irvine,13,70,UC Irvine,False
Villanova,6,61,Saint Mary's,11,57,Villanova,True
Purdue,3,61,Old Dominion,14,48,Purdue,True
Cincinnati,7,72,Iowa,10,79,Iowa,False
Tennessee,2,77,Colgate,15,70,Tennessee,True
North Carolina,1,88,Iona,16,73,North Carolina,True
Utah State,8,61,Washington,9,78,Washington,False
Auburn,5,78,New Mexico State,12,77,Auburn,True
Kansas,4,87,Northeastern,13,53,Kansas,True
Iowa State,6,59,Ohio State,11,62,Ohio State,False
Houston,3,84,Georgia State,14,55,Houston,True
Wofford,7,84,Seton Hall,10,68,Wofford,True
Kentucky,2,79,Abilene Christian,15,44,Kentucky,True
Gonzaga,1,83,Baylor,9,71,Gonzaga,True
Murray State,12,62,Florida State,4,90,Florida State,False
Buffalo,6,58,Texas Tech,3,78,Texas Tech,False
Florida,10,49,Michigan,2,64,Michigan,False
Duke,1,77,UCF,9,76,Duke,True
Liberty,12,58,Virginia Tech,4,67,Virginia Tech,False
Maryland,6,67,LSU,3,69,LSU,False
Minnesota,10,50,Michigan State,2,70,Michigan State,False
Virginia,1,63,Oklahoma,9,51,Virginia,True
Oregon,12,73,California-Irvine,13,54,Oregon,True
Villanova,6,61,Purdue,3,87,Purdue,False
Iowa,10,77,Tennessee,2,83,Tennessee,False
North Carolina,1,81,Washington,9,59,North Carolina,True
Auburn,5,89,Kansas,4,75,Auburn,True
Ohio State,11,59,Houston,3,74,Houston,False
Wofford,7,56,Kentucky,2,62,Kentucky,False
Gonzaga,1,72,Florida State,4,58,Gonzaga,True
Texas Tech,3,63,Michigan,2,44,Texas Tech,True
Duke,1,75,Virginia Tech,4,73,Duke,True
LSU,3,63,Michigan State,2,80,Michigan State,False
Virginia,1,53,Oregon,12,49,Virginia,True
Purdue,3,99,Tennessee,2,94,Purdue,True
North Carolina,1,80,Auburn,5,97,Auburn,False
Houston,3,58,Kentucky,2,62,Kentucky,False
Gonzaga,1,69,Texas Tech,3,75,Texas Tech,False
Duke,1,67,Michigan State,2,68,Michigan State,False
Virginia,1,80,Purdue,3,75,Virginia,True
Auburn,5,77,Kentucky,2,71,Auburn,True
Michigan State,2,51,Texas Tech,3,61,Texas Tech,False
Virginia,1,63,Auburn,5,62,Virginia,True
Texas Tech,3,77,Virginia,1,85,Virginia,False
