Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round
Michigan State,1,89.0,Long Island,16,67.0,Michigan State,True,2012,1
Memphis,8,54.0,Saint Louis,9,61.0,Saint Louis,False,2012,1
New Mexico,5,75.0,Long Beach State,12,68.0,New Mexico,True,2012,1
Louisville,4,69.0,Davidson,13,62.0,Louisville,True,2012,1
Murray State,6,58.0,Colorado State,11,41.0,Murray State,True,2012,1
Marquette,3,88.0,BYU,14,68.0,Marquette,True,2012,1
Florida,7,71.0,Virginia,10,45.0,Florida,True,2012,1
Missouri,2,84.0,Norfolk State,15,86.0,Norfolk State,False,2012,1
Syracuse,1,72.0,UNC Asheville,16,65.0,Syracuse,True,2012,1
Kansas State,8,70.0,Southern Miss,9,64.0,Kansas State,True,2012,1
Vanderbilt,5,79.0,Harvard,12,70.0,Vanderbilt,True,2012,1
Wisconsin,4,73.0,Montana,13,49.0,Wisconsin,True,2012,1
Cincinnati,6,65.0,Texas,11,59.0,Cincinnati,True,2012,1
Florida State,3,66.0,St. Bonaventure,14,63.0,Florida State,True,2012,1
Gonzaga,7,77.0,West Virginia,10,54.0,Gonzaga,True,2012,1
Ohio State,2,78.0,Loyola (MD),15,59.0,Ohio State,True,2012,1
Kentucky,1,81.0,Western Kentucky,16,66.0,Kentucky,True,2012,1
Iowa State,8,77.0,UConn,9,64.0,Iowa State,True,2012,1
Wichita State,5,59.0,VCU,12,62.0,VCU,False,2012,1
Indiana,4,79.0,New Mexico State,13,66.0,Indiana,True,2012,1
UNLV,6,64.0,Colorado,11,68.0,Colorado,False,2012,1
Baylor,3,68.0,South Dakota State,14,60.0,Baylor,True,2012,1
Notre Dame,7,63.0,Xavier,10,67.0,Xavier,False,2012,1
Duke,2,70.0,Lehigh,15,75.0,Lehigh,False,2012,1
North Carolina,1,77.0,Vermont,16,58.0,North Carolina,True,2012,1
Creighton,8,58.0,Alabama,9,57.0,Creighton,True,2012,1
Temple,5,44.0,South Florida,12,58.0,South Florida,False,2012,1
Michigan,4,60.0,Ohio,13,65.0,Ohio,False,2012,1
San Diego State,6,65.0,NC State,11,79.0,North Carolina State,False,2012,1
Georgetown,3,74.0,Belmont,14,59.0,Georgetown,True,2012,1
Saint Mary's,7,69.0,Purdue,10,72.0,Purdue,False,2012,1
Kansas,2,65.0,Detroit,15,50.0,Kansas,True,2012,1
Michigan State,1,65.0,Saint Louis,9,61.0,Michigan State,True,2012,2
New Mexico,5,56.0,Louisville,4,59.0,Louisville,False,2012,2
Murray State,6,53.0,Marquette,3,62.0,Marquette,False,2012,2
Florida,7,84.0,Norfolk State,15,50.0,Florida,True,2012,2
Syracuse,1,75.0,Kansas State,8,59.0,Syracuse,True,2012,2
Vanderbilt,5,57.0,Wisconsin,4,60.0,Wisconsin,False,2012,2
Cincinnati,6,62.0,Florida State,3,56.0,Cincinnati,True,2012,2
Gonzaga,7,66.0,Ohio State,2,73.0,Ohio State,False,2012,2
Kentucky,1,87.0,Iowa State,8,71.0,Kentucky,True,2012,2
VCU,12,61.0,Indiana,4,63.0,Indiana,False,2012,2
Colorado,11,63.0,Baylor,3,80.0,Baylor,False,2012,2
Xavier,10,70.0,Lehigh,15,58.0,Xavier,True,2012,2
North Carolina,1,87.0,Creighton,8,73.0,North Carolina,True,2012,2
South Florida,12,56.0,Ohio,13,62.0,Ohio,False,2012,2
NC State,11,66.0,Georgetown,3,63.0,North Carolina State,True,2012,2
Purdue,10,60.0,Kansas,2,63.0,Kansas,False,2012,2
Michigan State,1,44.0,Louisville,4,57.0,Louisville,False,2012,3
Marquette,3,58.0,Florida,7,68.0,Florida,False,2012,3
Syracuse,1,64.0,Wisconsin,4,63.0,Syracuse,True,2012,3
Cincinnati,6,66.0,Ohio State,2,81.0,Ohio State,False,2012,3
Kentucky,1,102.0,Indiana,4,90.0,Kentucky,True,2012,3
Baylor,3,75.0,Xavier,10,70.0,Baylor,True,2012,3
North Carolina,1,73.0,Ohio,13,65.0,North Carolina,True,2012,3
NC State,11,57.0,Kansas,2,60.0,Kansas,False,2012,3
Louisville,4,72.0,Florida,7,68.0,Louisville,True,2012,4
Syracuse,1,70.0,Ohio State,2,77.0,Ohio State,False,2012,4
Kentucky,1,82.0,Baylor,3,70.0,Kentucky,True,2012,4
North Carolina,1,67.0,Kansas,2,80.0,Kansas,False,2012,4
Kentucky,1,69.0,Louisville,4,61.0,Kentucky,True,2012,5
Ohio State,2,62.0,Kansas,2,64.0,Kansas,False,2012,5
Kentucky,1,67.0,Kansas,2,59.0,Kentucky,True,2012,6
Gonzaga,1,64.0,Southern,16,58.0,Gonzaga,True,2013,1
Pittsburgh,8,55.0,Wichita State,9,73.0,Wichita State,False,2013,1
Wisconsin,5,46.0,Ole Miss,12,57.0,Ole Miss,False,2013,1
Kansas State,4,61.0,La Salle,13,63.0,La Salle,False,2013,1
Arizona,6,81.0,Belmont,11,64.0,Arizona,True,2013,1
New Mexico,3,62.0,Harvard,14,68.0,Harvard,False,2013,1
Notre Dame,7,58.0,Iowa State,10,76.0,Iowa State,False,2013,1
Ohio State,2,95.0,Iona,15,70.0,Ohio State,True,2013,1
Indiana,1,83.0,James Madison,16,62.0,Indiana,True,2013,1
NC State,8,72.0,Temple,9,76.0,Temple,False,2013,1
UNLV,5,61.0,California,12,64.0,California,False,2013,1
Syracuse,4,81.0,Montana,13,34.0,Syracuse,True,2013,1
Butler,6,68.0,Bucknell,11,56.0,Butler,True,2013,1
Marquette,3,59.0,Davidson,14,58.0,Marquette,True,2013,1
Illinois,7,57.0,Colorado,10,49.0,Illinois,True,2013,1
Miami (FL),2,78.0,Pacific,15,49.0,Miami (FL),True,2013,1
Kansas,1,64.0,Western Kentucky,16,57.0,Kansas,True,2013,1
North Carolina,8,78.0,Villanova,9,71.0,North Carolina,True,2013,1
VCU,5,88.0,Akron,12,42.0,VCU,True,2013,1
Michigan,4,71.0,South Dakota State,13,56.0,Michigan,True,2013,1
UCLA,6,63.0,Minnesota,11,83.0,Minnesota,False,2013,1
Florida,3,79.0,Northwestern State,14,47.0,Florida,True,2013,1
San Diego State,7,70.0,Oklahoma,10,55.0,San Diego State,True,2013,1
Georgetown,2,68.0,Florida Gulf Coast,15,78.0,Florida Gulf Coast,False,2013,1
Louisville,1,79.0,North Carolina A&T,16,48.0,Louisville,True,2013,1
Colorado State,8,84.0,Missouri,9,72.0,Colorado State,True,2013,1
Oklahoma State,5,55.0,Oregon,12,68.0,Oregon,False,2013,1
Saint Louis,4,64.0,New Mexico State,13,44.0,Saint Louis,True,2013,1
Memphis,6,54.0,Saint Mary's,11,52.0,Memphis,True,2013,1
Michigan State,3,65.0,Valparaiso,14,54.0,Michigan State,True,2013,1
Creighton,7,67.0,Cincinnati,10,63.0,Creighton,True,2013,1
Duke,2,73.0,Albany,15,61.0,Duke,True,2013,1
Gonzaga,1,70.0,Wichita State,9,76.0,Wichita State,False,2013,2
Ole Miss,12,74.0,La Salle,13,76.0,La Salle,False,2013,2
Arizona,6,74.0,Harvard,14,51.0,Arizona,True,2013,2
Iowa State,10,75.0,Ohio State,2,78.0,Ohio State,False,2013,2
Indiana,1,58.0,Temple,9,52.0,Indiana,True,2013,2
California,12,60.0,Syracuse,4,66.0,Syracuse,False,2013,2
Butler,6,72.0,Marquette,3,74.0,Marquette,False,2013,2
Illinois,7,59.0,Miami (FL),2,63.0,Miami (FL),False,2013,2
Kansas,1,70.0,North Carolina,8,58.0,Kansas,True,2013,2
VCU,5,53.0,Michigan,4,78.0,Michigan,False,2013,2
Minnesota,11,64.0,Florida,3,78.0,Florida,False,2013,2
San Diego State,7,71.0,Florida Gulf Coast,15,81.0,Florida Gulf Coast,False,2013,2
Louisville,1,82.0,Colorado State,8,56.0,Louisville,True,2013,2
Oregon,12,74.0,Saint Louis,4,57.0,Oregon,True,2013,2
Memphis,6,48.0,Michigan State,3,70.0,Michigan State,False,2013,2
Creighton,7,50.0,Duke,2,66.0,Duke,False,2013,2
Wichita State,9,72.0,La Salle,13,58.0,Wichita State,True,2013,3
Arizona,6,70.0,Ohio State,2,73.0,Ohio State,False,2013,3
Indiana,1,50.0,Syracuse,4,61.0,Syracuse,False,2013,3
Marquette,3,71.0,Miami (FL),2,61.0,Marquette,True,2013,3
Kansas,1,85.0,Michigan,4,87.0,Michigan,False,2013,3
Florida,3,62.0,Florida Gulf Coast,15,50.0,Florida,True,2013,3
Louisville,1,77.0,Oregon,12,69.0,Louisville,True,2013,3
Michigan State,3,61.0,Duke,2,71.0,Duke,False,2013,3
Wichita State,9,70.0,Ohio State,2,66.0,Wichita State,True,2013,4
Syracuse,4,55.0,Marquette,3,39.0,Syracuse,True,2013,4
Michigan,4,79.0,Florida,3,59.0,Michigan,True,2013,4
Louisville,1,85.0,Duke,2,63.0,Louisville,True,2013,4
Louisville,1,72.0,Wichita State,9,68.0,Louisville,True,2013,5
Michigan,4,61.0,Syracuse,4,56.0,Michigan,True,2013,5
Louisville,1,82.0,Michigan,4,76.0,Louisville,True,2013,6
Arizona,1,68.0,Weber State,16,59.0,Arizona,True,2014,1
Gonzaga,8,85.0,Oklahoma State,9,77.0,Gonzaga,True,2014,1
Oklahoma,5,75.0,North Dakota State,12,80.0,North Dakota State,False,2014,1
San Diego State,4,73.0,New Mexico State,13,69.0,San Diego State,True,2014,1
Baylor,6,74.0,Nebraska,11,60.0,Baylor,True,2014,1
Creighton,3,76.0,Louisiana-Lafayette,14,66.0,Creighton,True,2014,1
Oregon,7,87.0,BYU,10,68.0,Oregon,True,2014,1
Wisconsin,2,75.0,American,15,35.0,Wisconsin,True,2014,1
Virginia,1,70.0,Coastal Carolina,16,59.0,Virginia,True,2014,1
Memphis,8,71.0,George Washington,9,66.0,Memphis,True,2014,1
Cincinnati,5,57.0,Harvard,12,61.0,Harvard,False,2014,1
Michigan State,4,93.0,Delaware,13,78.0,Michigan State,True,2014,1
North Carolina,6,79.0,Providence,11,77.0,North Carolina,True,2014,1
Iowa State,3,93.0,NC Central,14,75.0,Iowa State,True,2014,1
UConn,7,89.0,Saint Joseph's,10,81.0,UConn,True,2014,1
Villanova,2,73.0,Milwaukee,15,53.0,Villanova,True,2014,1
Florida,1,67.0,Albany,16,55.0,Florida,True,2014,1
Colorado,8,48.0,Pittsburgh,9,77.0,Pittsburgh,False,2014,1
VCU,5,75.0,Stephen F. Austin,12,77.0,Stephen F. Austin,False,2014,1
UCLA,4,76.0,Tulsa,13,59.0,UCLA,True,2014,1
Ohio State,6,59.0,Dayton,11,60.0,Dayton,False,2014,1
