Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Michigan State,1,89.0,Long Island,16,67.0,Michigan State,True
Memphis,8,54.0,Saint Louis,9,61.0,Saint Louis,False
New Mexico,5,75.0,Long Beach State,12,68.0,New Mexico,True
Louisville,4,69.0,Davidson,13,62.0,Louisville,True
Murray State,6,58.0,Colorado State,11,41.0,Murray State,True
Marquette,3,88.0,BYU,14,68.0,Marquette,True
Florida,7,71.0,Virginia,10,45.0,Florida,True
Missouri,2,84.0,Norfolk State,15,86.0,Norfolk State,False
Syracuse,1,72.0,UNC Asheville,16,65.0,Syracuse,True
Kansas State,8,70.0,Southern Miss,9,64.0,Kansas State,True
Vanderbilt,5,79.0,Harvard,12,70.0,Vanderbilt,True
Wisconsin,4,73.0,Montana,13,49.0,Wisconsin,True
Cincinnati,6,65.0,Texas,11,59.0,Cincinnati,True
Florida State,3,66.0,St. Bonaventure,14,63.0,Florida State,True
Gonzaga,7,77.0,West Virginia,10,54.0,Gonzaga,True
Ohio State,2,78.0,Loyola (MD),15,59.0,Ohio State,True
Kentucky,1,81.0,Western Kentucky,16,66.0,Kentucky,True
Iowa State,8,77.0,Connecticut,9,64.0,Iowa State,True
Wichita State,5,59.0,VCU,12,62.0,VCU,False
Indiana,4,79.0,New Mexico State,13,66.0,Indiana,True
UNLV,6,64.0,Colorado,11,68.0,Colorado,False
Baylor,3,68.0,South Dakota State,14,60.0,Baylor,True
Notre Dame,7,63.0,Xavier,10,67.0,Xavier,False
Duke,2,70.0,Lehigh,15,75.0,Lehigh,False
North Carolina,1,77.0,Vermont,16,58.0,North Carolina,True
Creighton,8,58.0,Alabama,9,57.0,Creighton,True
Temple,5,44.0,South Florida,12,58.0,South Florida,False
Michigan,4,60.0,Ohio,13,65.0,Ohio,False
San Diego State,6,65.0,North Carolina State,11,79.0,North Carolina State,False
Georgetown,3,74.0,Belmont,14,59.0,Georgetown,True
Saint Mary's,7,69.0,Purdue,10,72.0,Purdue,False
Kansas,2,65.0,Detroit,15,50.0,Kansas,True
Michigan State,1,65.0,Saint Louis,9,61.0,Michigan State,True
New Mexico,5,56.0,Louisville,4,59.0,Louisville,False
Murray State,6,53.0,Marquette,3,62.0,Marquette,False
Florida,7,84.0,Norfolk State,15,50.0,Florida,True
Syracuse,1,75.0,Kansas State,8,59.0,Syracuse,True
Vanderbilt,5,57.0,Wisconsin,4,60.0,Wisconsin,False
Cincinnati,6,62.0,Florida State,3,56.0,Cincinnati,True
Gonzaga,7,66.0,Ohio State,2,73.0,Ohio State,False
Kentucky,1,87.0,Iowa State,8,71.0,Kentucky,True
VCU,12,61.0,Indiana,4,63.0,Indiana,False
Colorado,11,63.0,Baylor,3,80.0,Baylor,False
Xavier,10,70.0,Lehigh,15,58.0,Xavier,True
North Carolina,1,87.0,Creighton,8,73.0,North Carolina,True
South Florida,12,56.0,Ohio,13,62.0,Ohio,False
North Carolina State,11,66.0,Georgetown,3,63.0,North Carolina State,True
Purdue,10,60.0,Kansas,2,63.0,Kansas,False
Michigan State,1,44.0,Louisville,4,57.0,Louisville,False
Marquette,3,58.0,Florida,7,68.0,Florida,False
Syracuse,1,64.0,Wisconsin,4,63.0,Syracuse,True
Cincinnati,6,66.0,Ohio State,2,81.0,Ohio State,False
Kentucky,1,102.0,Indiana,4,90.0,Kentucky,True
Baylor,3,75.0,Xavier,10,70.0,Baylor,True
North Carolina,1,73.0,Ohio,13,65.0,North Carolina,True
North Carolina State,11,57.0,Kansas,2,60.0,Kansas,False
Louisville,4,72.0,Florida,7,68.0,Louisville,True
Syracuse,1,70.0,Ohio State,2,77.0,Ohio State,False
Kentucky,1,82.0,Baylor,3,70.0,Kentucky,True
North Carolina,1,67.0,Kansas,2,80.0,Kansas,False
Kentucky,1,69.0,Louisville,4,61.0,Kentucky,True
Ohio State,2,62.0,Kansas,2,64.0,Kansas,False
Kentucky,1,67.0,Kansas,2,59.0,Kentucky,True
Gonzaga,1,64.0,Southern,16,58.0,Gonzaga,True
Pittsburgh,8,55.0,Wichita State,9,73.0,Wichita State,False
Wisconsin,5,46.0,Ole Miss,12,57.0,Ole Miss,False
