Rk,Team,Seed,Conf,G,Rec,ConfRec,Wins,Losses,ConfWins,ConfLosses,WinPct,ConfWinPct,AdjO,Rk_AdjO,AdjD,Rk_AdjD,Barthag,Rk_Barthag,EFG%,Rk_EFG%,EFGD%,Rk_EFGD%,TOR,Rk_TOR,TORD,Rk_TORD,ORB,Rk_ORB,DRB,Rk_DRB,FTR,Rk_FTR,FTRD,Rk_FTRD,2P%,Rk_2P%,2P%D,Rk_2P%D,3P%,Rk_3P%,3P%D,Rk_3P%D,3PR,Rk_3PR,3PRD,Rk_3PRD,AdjT,Rk_AdjT,WAB,Rk_WAB
23,Arizona,2,P12,34,30-4,16-2,30,4,16,2,+0.1176,,,+101.9,-80.3,+63.9,+35.0827,-22.0422,-42.7,+8.1,-20.1,+10.4,+44.0,-51.2,+53.3,-206.9,+266.7,-23.8,+94.8,-30.4,-24.0,+15.3,-17.2,+1.3,+210.0,-43.2,+5.1,-68.6,+91.2,+26.1,+14.4,+16.4,+20.2,-262.7,+183.4,-146.7,+193.0,-217.7,+125.1,-3.9
50,Arkansas,8,SEC,34,25-9,12-6,25,9,12,6,-0.1353,,,+80.6,-28.1,-19.2,+53.1805,-49.1322,-9.5,-75.1,+152.8,-28.8,+40.6,-27.5,+81.7,-165.4,+92.6,-42.5,+165.5,-292.1,+240.2,-49.2,+179.7,-222.8,+111.8,-81.9,+105.8,-38.8,+44.6,-72.1,+214.8,-46.8,+47.2,-286.5,+247.6,-176.8,+133.1,-27.9,+101.1,-25.1
15,Baylor,3,B12,31,24-7,12-6,24,7,12,6,-0.2742,,,+100.8,-83.5,+82.4,+150.069,-14.0928,-22.7,-19.8,+55.8,+36.9,+159.3,-285.5,+292.1,-255.4,+113.0,+49.2,-28.7,-170.2,+183.8,-187.0,+226.6,-25.6,+80.5,-1.8,+176.8,+31.7,+161.7,-112.8,-1.4,+9.3,+114.1,-203.8,+211.6,-76.6,+18.2,-268.4,+297.2,-6.88
84,Bucknell,13,Pat,34,26-8,15-3,26,8,15,3,+0.2353,,,+4.6,+37.5,+4.1,+42.2911,-83.1925,+4.6,+34.3,+31.0,-24.4,-4.8,-181.1,+54.3,-86.7,+176.2,-239.0,+264.6,-61.1,+163.8,-103.6,+228.3,-79.3,+94.4,+34.2,-1.5,-22.7,-3.7,-21.7,+147.0,-91.0,-21.6,-82.7,+131.2,-8.3,-46.3,-12.8,+78.0,-75.76
27,Butler,4,BE,31,23-8,12-6,23,8,12,6,-0.7419,,,+90.8,+37.0,+39.0,+72.0986,-26.2472,+26.4,+13.5,+190.3,-126.7,+234.9,+6.3,+69.9,-47.0,-17.1,-188.2,+231.2,-75.0,+245.8,-116.4,+110.5,-178.4,+190.4,+31.5,+38.0,-180.9,+223.7,-82.0,+266.6,-45.6,+160.5,-110.4,+80.4,-186.9,+64.0,-224.2,+311.5,-21.1
16,Cincinnati,6,Amer,34,29-5,16-2,29,5,16,2,-0.0529,,,+83.9,-69.2,+84.8,+28.0741,-15.0489,-35.7,-66.1,+227.3,+39.4,+59.8,+2.0,-2.8,-24.5,+120.2,+19.6,-10.6,-165.7,+60.5,-225.1,+89.4,-15.7,+113.2,-26.1,+186.0,+40.3,+30.7,-169.3,+231.9,-88.7,+80.6,-136.1,+116.2,-157.9,+114.3,-254.7,+287.3,-16.8
26,Creighton,6,BE,33,24-9,10-8,24,9,10,8,-0.2273,,,+76.8,+49.7,+52.8,+34.0977,-25.1809,-1.0,+51.4,+25.0,-93.6,+252.9,-52.8,+244.4,-87.1,+11.9,-295.9,+245.3,-176.0,+51.1,-306.1,+244.4,-3.1,+84.3,+49.3,-7.9,-143.2,+231.9,+20.7,+141.6,-44.5,+188.1,-143.5,+84.2,-151.8,+211.4,+30.0,+25.8,-22.4
49,Dayton,7,A10,30,23-7,15-3,23,7,15,3,-0.4334,,,+53.8,-25.5,+58.1,+232.1748,-48.4297,+76.8,+19.1,+4.3,-4.4,+202.9,-57.1,+91.2,-26.1,+192.2,-257.7,+202.0,-44.5,+150.3,+29.3,+50.4,-123.9,+147.2,-20.6,+57.8,-33.0,+166.3,+14.4,+10.6,-10.4,+162.6,-89.3,+153.6,-236.4,+183.2,-86.1,+111.4,-42.0
9,Duke,2,ACC,35,27-8,11-7,27,8,11,7,+0.0286,,,+120.8,-86.9,+62.7,+82.0573,-8.0436,-42.8,+28.6,-1.5,-4.3,+91.8,-22.4,+22.8,-244.0,+271.5,-67.2,+229.6,-146.6,+264.1,-27.6,+2.1,-39.6,+60.2,+27.1,-0.8,-93.6,+191.4,-20.2,+58.5,+20.8,-13.7,-109.3,+207.7,+23.8,-10.6,-103.3,+110.5,-1.3
71,East Tennessee State,13,SC,32,25-7,14-4,25,7,14,4,+0.2188,,,+3.9,-26.8,+44.4,+122.2408,-70.2225,+15.9,+40.8,+17.5,-36.6,+40.4,-288.9,+95.0,-6.3,+277.0,-117.7,+201.9,-48.3,+154.2,+38.1,-7.8,-196.6,+11.6,+32.8,+138.7,+7.4,-2.2,+2.7,-18.6,-164.2,+98.8,-177.1,+244.6,-240.4,+99.4,0.0,+83.6,-58.4
