Canonical,Alias1,Alias2,Alias3
Alabama State,Alabama St.,,
Arizona State,Arizona St.,,
Boise State,Boise St.,,
BYU,Brigham Young,,
Cal State Bakersfield,Cal St. Bakersfield,CSU Bakersfield,
Cal State Fullerton,Cal St. Fullerton,,
California-Irvine,UC Irvine,,
Cleveland State,Cleveland St.,,
College of Charleston,Charleston,,
Colorado State,Colorado St.,,
East Tennessee State,East Tennessee St.,East Tenn. St.,
Eastern Washington,Eastern Wash.,,
Fairleigh Dickinson,FDU,,
Florida Atlantic,FAU,,
Florida Gulf Coast,Florida Gulf Coast,Fla. Gulf Coast,
Florida State,Florida St.,,
Fresno State,Fresno St.,,
Gardner-Webb,Gardner Webb,,
George Washington,G. Washington,,
Georgia State,Georgia St.,,
Grambling State,Grambling St.,,
Iowa State,Iowa St.,,
Jacksonville State,Jacksonville St.,,
Kansas State,Kansas St.,,
Kennesaw State,Kennesaw St.,,
Kent State,Kent St.,,
Little Rock,Arkansas Little Rock,,
Long Beach State,Long Beach St.,,
Louisiana-Lafayette,Louisiana Lafayette,Louisiana,
Loyola (MD),Loyola MD,,
Massachusetts,UMass,,
McNeese,McNeese St.,,
Miami (FL),Miami FL,,
Miami OH,Miami (OH),,
Michigan State,Michigan St.,,
Middle Tennessee,Middle Tenn.,,
Mississippi State,Mississippi St.,,
Montana State,Montana St.,,
Morehead State,Morehead St.,,
Murray State,Murray St.,,
NC Central,North Carolina Central,,
New Mexico State,New Mexico St.,,
Norfolk State,Norfolk St.,,
North Carolina A&T,NC A&T,,
North Carolina State,North Carolina St.,N.C. State,NC State
North Dakota State,North Dakota St.,,
Northern Kentucky,N Kentucky,,
Northwestern State,Northwestern St.,,
Ohio State,Ohio St.,,
Oklahoma State,Oklahoma St.,,
Ole Miss,Mississippi,,
Oregon State,Oregon St.,,
Penn State,Penn St.,,
Pittsburgh,Pitt,,
Portland St.,Portland State,,
Saint Louis,St. Louis,,
Saint Mary's,St. Mary's,,
San Diego State,San Diego St.,,
South Dakota State,South Dakota St.,,
Southern Methodist,SMU,,
Southern Miss,Southern Mississippi,,
Tennessee St.,Tennessee State,,
Texas A&M–Corpus Christi,Texas A&M–CC,Texas A&M-CC,
UC Santa Barbara,UCSB,,
UConn,Connecticut,,
UNC Asheville,NC Asheville,,
UNLV,Nevada Las Vegas,,
Utah State,Utah St.,,
VCU,Virginia Commonwealth,,
Washington State,Washington St.,,
Weber State,Weber St.,,
Western Kentucky,Western Ky.,,
Western Michigan,Western Mich.,,
Wichita State,Wichita St.,,
Wright State,Wright St.,,
