Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
1,Gonzaga,1,WCC,26-0,26,0,1.0,36.62,126.1,1,89.5,9,74.7,4,0.018,135,7.88,96,105.9,98,98.0,97,6.14,106
2,Michigan,1,B10,20-4,20,4,0.8333333333333334,30.65,119.4,6,88.8,7,66.8,260,0.026,116,16.79,15,111.4,12,94.6,19,2.72,165
3,Illinois,1,B10,23-6,23,6,0.7931034482758621,30.54,119.0,8,88.5,5,70.7,80,0.03,111,18.88,3,112.7,2,93.8,10,10.0,57
4,Baylor,1,B12,22-2,22,2,0.9166666666666666,29.56,123.4,3,93.8,44,68.4,180,0.05,67,9.7,78,106.6,89,96.9,64,-4.0,269
5,Houston,2,Amer,24-3,24,3,0.8888888888888888,28.95,119.0,7,90.1,15,64.9,326,-0.009,201,6.77,105,103.9,148,97.2,74,1.85,186
6,Iowa,2,B10,21-8,21,8,0.7241379310344828,28.82,123.5,2,94.7,50,70.0,100,-0.028,240,16.9,14,110.4,20,93.5,6,-5.33,285
7,Ohio St.,2,B10,21-9,21,9,0.7,25.35,122.3,4,96.9,78,67.1,248,0.003,162,18.78,5,111.8,7,93.0,3,2.98,160
8,Alabama,2,SEC,24-6,24,6,0.8,25.08,111.8,34,86.7,2,73.9,9,0.031,108,14.36,29,109.8,29,95.5,32,9.05,69
9,Loyola Chicago,8,MVC,24-4,24,4,0.8571428571428571,23.72,110.6,49,86.9,3,64.2,342,-0.02,226,4.14,132,104.3,139,100.1,135,4.91,129
10,Virginia,4,ACC,18-6,18,6,0.75,22.97,115.9,12,92.9,30,60.1,357,0.046,82,12.41,52,109.9,28,97.5,82,0.19,210
11,Villanova,5,BE,16-6,16,6,0.7272727272727273,22.62,118.7,9,96.1,66,65.0,321,-0.006,195,13.06,41,108.9,45,95.9,41,7.52,91
12,Wisconsin,9,B10,17-12,17,12,0.5862068965517241,22.59,112.6,32,90.0,13,64.9,327,-0.049,283,18.06,9,111.8,8,93.7,9,1.3,194
13,Florida St.,4,ACC,16-6,16,6,0.7272727272727273,22.39,116.7,10,94.3,47,70.5,84,-0.011,207,12.92,42,109.0,44,96.1,45,4.39,140
14,USC,6,P12,22-7,22,7,0.7586206896551724,22.36,113.0,28,90.6,20,67.3,236,-0.006,193,11.34,63,108.3,57,97.0,68,5.11,128
15,Purdue,4,B10,18-9,18,9,0.6666666666666666,22.21,113.6,24,91.4,23,66.5,274,0.019,130,17.28,11,111.6,11,94.3,13,5.87,111
16,Connecticut,7,BE,15-7,15,7,0.6818181818181818,21.86,113.6,23,91.8,25,66.0,301,-0.066,307,12.63,45,107.9,65,95.3,29,-2.11,248
17,Colorado,5,P12,22-8,22,8,0.7333333333333333,21.83,114.5,16,92.7,28,66.3,280,-0.033,252,10.99,69,108.0,62,97.0,70,2.1,180
18,Arkansas,3,SEC,22-6,22,6,0.7857142857142857,21.61,111.6,35,90.0,14,73.1,17,0.056,56,11.34,62,108.3,55,97.0,69,-5.13,282
19,San Diego St.,6,MWC,23-4,23,4,0.8518518518518519,21.35,110.8,45,89.5,10,66.1,298,0.018,133,6.39,108,105.9,100,99.5,122,10.97,49
20,Creighton,5,BE,20-8,20,8,0.7142857142857143,21.27,114.9,14,93.7,40,69.0,143,0.001,170,12.56,50,107.9,66,95.3,30,-1.34,233
21,Tennessee,5,SEC,18-8,18,8,0.6923076923076923,21.15,108.9,70,87.8,4,67.3,233,-0.007,198,12.6,46,108.4,54,95.8,39,-0.59,222
22,Kansas,3,B12,20-8,20,8,0.7142857142857143,21.08,109.7,60,88.6,6,68.2,186,0.042,86,14.83,22,110.2,23,95.3,31,10.24,56
23,Texas Tech,6,B12,17-10,17,10,0.6296296296296297,21.01,112.5,33,91.5,24,65.3,316,-0.091,333,11.42,59,108.1,59,96.7,62,-5.4,286
24,BYU,6,WCC,20-6,20,6,0.7692307692307693,20.97,113.1,27,92.2,26,68.0,200,0.045,83,10.38,73,108.0,61,97.6,87,8.9,71
25,St. Bonaventure,9,A10,16-4,16,4,0.8,20.66,111.3,39,90.6,18,65.1,319,0.014,142,8.2,90,105.9,97,97.7,90,2.72,164
26,Texas,3,B12,19-7,19,7,0.7307692307692307,20.6,113.9,22,93.3,35,69.2,138,0.017,139,14.12,33,109.1,43,95.0,23,8.25,82
